Gene	VHL	ZNF512B	PBRM1	EPAS1	HIF1A	MDFI	APC	TCEB1	TCEB2	SQSTM1	FBXW11	SH3BP5	CUL2	VEGFA	ARNT	TP53	DST	DDX41	PIK3CA	ESR2	KDR	SYNE1	MTOR	SIAH1	SPTBN1	MLH1	SMAD3	SMAD9	SMAD1	MGAT1	RBX1	ABL1	UIMC1	BPTF	CRK	GABARAPL2	HSP90AA1	MACF1	DISC1	TGFBR1	SMAD4	SKIL	MAPK6	SMAD2	SLU7	GOLGA2	RUFY1	TNIK	FYN	ATN1	PDZD2
TCGA-A3-A6NJ-01										1	1							1												1			1												1		1				
TCGA-BP-4330-01										1	1							1												1			1												1		1				
TCGA-CJ-4641-01										1	1							1												1			1												1		1				
TCGA-CZ-5462-01										1	1							1												1			1												1		1				
TCGA-B8-A54G-01										1	1							1												1			1												1		1				
TCGA-B8-5553-01										1	1							1												1			1												1		1				
TCGA-B2-5641-01										1	1							1												1			1												1		1				
TCGA-B0-5092-01										1	1							1												1			1												1		1				
TCGA-BP-4776-01										1	1							1												1			1												1		1				
TCGA-A3-A8OW-01										1	1							1												1			1												1		1				
TCGA-G6-A5PC-01										1	1							1												1			1												1		1				
TCGA-CJ-4874-01										1	1							1												1			1												1		1				
TCGA-A3-3307-01										1	1							1												1			1												1		1				
TCGA-BP-4338-01										1	1							1												1			1														1				
TCGA-CJ-4873-01										1								1	1											1			1				1										1				1
TCGA-BP-4163-01										1								1												1			1														1				
TCGA-A3-3357-01											1								1																																
TCGA-CZ-5467-01												1					1									1																									
TCGA-B0-4697-01												1													1	1																									
TCGA-CJ-4897-01												1														1	1																								
TCGA-A3-3343-01												1														1																									
TCGA-BP-4969-01												1														1																									
TCGA-B0-5121-01												1														1																									
TCGA-CJ-6028-01												1														1																									
TCGA-CJ-4868-01												1														1																									
TCGA-AK-3428-01												1														1																									
TCGA-CJ-4639-01												1														1																									
TCGA-BP-4790-01												1														1																									
TCGA-CJ-4901-01												1														1																									
TCGA-B0-5400-01													1																																						
TCGA-AS-3777-01															1																							1													1
TCGA-B0-5706-01															1																																				
TCGA-BP-4770-01																1						1																													
TCGA-AK-3440-01																1																																			
TCGA-CZ-4865-01																1																																			
TCGA-B0-5117-01																1																																			
TCGA-A3-3313-01																1																																			
TCGA-CZ-5463-01																1																																			
TCGA-A3-3347-01																	1						1																												
TCGA-B8-4146-01																	1																																		
