TCGA-VQ-A8PE-01	1	1																																																														1																																																																																																																																																1																																												1											1														1																																																																										1																																												1																																																																																													1												
TCGA-KB-A93G-01	1	1																																																																	1																																																										1																			1																																																																																																																																																																																																																																																												1																																																																																																								
TCGA-BR-8373-01	1	1																																																																																																											1																																																																																																																																																																																																			1																																																																																																																					1																																																																															
TCGA-HU-8245-01	1	1																																																																																																																																																														1																																1				1																																																																																																																																																																																																																																																																																																																
TCGA-D7-6822-01	1		1														1																					1																												1	1																1										1																																																																																													1					1																																			1																																																														1																																																																											1																																	1																																																		1																																																						
TCGA-D7-A6EX-01	1		1																											1																																													1																																																				1																			1																																																						1																																				1											1	1							1																																																										1																																												1																																																				1																	1																																																							1		1			1														
TCGA-CG-5727-01	1		1																																																																																						1																	1																																																																				1																																						1																																																																																																																																																																																																																																																																															1																	
TCGA-CD-A486-01	1			1	1		1																	1		1			1									1																										1		1									1								1																			1																																																																											1														1																																		1	1																					1																					1													1							1																																																																											1									1												1																																																		1																																																																		
TCGA-FP-7829-01	1			1	1									1										1					1	1																																																															1																											1							1														1																																																																																				1											1																																																																			1																																																																																	1																												1																																																																					1													1						
TCGA-FP-A4BF-01	1			1	1																1			1					1									1										1																1		1								1																																																								1																																																													1																																			1																																																																																																																																1									1																					1												1																																																																																												1												
TCGA-IN-8462-01	1			1	1																			1																																																																													1																																																																				1					1																												1				1																																												1																																																														1																											1																																													1					1																																																																																							1																								
TCGA-BR-A4QI-01	1			1			1			1																				1																																	1	1																								1																																							1																																																																		1																																											1																				1												1																																			1					1																																																																											1															1					1																																																																														1							1						1						
TCGA-IN-A6RR-01	1			1			1																																										1						1				1																																																																													1																																						1																									1																											1																																																																																																																																														1				1				1																																																																																																																												
TCGA-FP-8099-01	1			1							1				1																																								1				1								1																																																																																1															1													1																				1							1																																																																																																																																																																																							1	1											1																																																										1																																													
TCGA-VQ-AA6I-01	1			1																	1									1																																													1																																																				1																																																																																																													1											1								1																																																																																																																									1																																																																																																									1																			
TCGA-BR-6458-01	1			1																				1					1																				1																										1														1																									1																																														1																																																																																							1			1																																																		1																																																					1	1																														1									1										1							1																													1						1																				1						1	1																												
TCGA-D7-6521-01	1			1																															1																																																																																																																															1																																																																																																																																																																																													1																											1																																																																																																																										
TCGA-D7-6520-01	1			1																															1																																																																																																																																																																																																						1																																																																																																																																																																			1																																																																					1																																			
TCGA-CD-8528-01	1			1																																		1																												1									1								1																																																																																																												1					1																														1																					1																																									1																																																																											1																						1	1																																										1																																																																								
TCGA-D7-6818-01	1			1																																																												1			1																																																																																																																																																			1																																								1																																					1									1															1	1				1		1																																																1																																																																																						1																																												
TCGA-BR-4183-01	1			1																																																																																																																																				1																																																																																																																																																																																								1																																																													1																								1																																																																																															
TCGA-CD-5800-01	1				1	1	1										1													1																																		1			1																																																												1																																																																																																													1																																																																																																										1												1	1																														1																																																																																																1																			
TCGA-D7-6815-01	1				1	1	1																																																					1							1																																										1																1																																																																																																																																																																																																												1																																																																																																																																					1			1																																			
TCGA-CG-4449-01	1				1		1		1							1													1								1																		1							1		1											1																																																																																																																				1							1														1						1								1																																																																																																																	1																																																				1					1				1																																									1																																															1				1								
TCGA-CD-5804-01	1				1		1																					1		1	1																				1	1																																																																											1																																																																1																																			1										1																																																																																																																	1																																											1																																																																																									1																			
TCGA-D7-A6EV-01	1				1		1																								1																								1																				1																																																																																																																																						1																																						1																																																								1																																																																																																																																																																		1																																			
TCGA-VQ-AA6G-01	1				1		1																																																					1																																																																																																																														1																																																																																																																																																																															1																																																																																																																											1					1											
TCGA-BR-8483-01	1				1		1																																																												1																						1																	1																																																						1																																																																																																																																																					1																																												1																																																																																																																						1																		1											
TCGA-BR-A44U-01	1				1		1																																																																																																																																																																																													1																																						1																																																																																																																																																							1																																																																																																																			
TCGA-IN-7808-01	1				1							1																		1																									1																1																																																								1																																																																				1																																									1																		1												1																																																																											1																																																																																																																																												1											1								
TCGA-HU-A4H2-01	1				1																			1					1													1							1															1											1																																												1																																																										1																																					1																																	1																																																					1																1				1		1																						1																									1	1													1	1												1																																							1																																				1																	1												
TCGA-CD-A48A-01	1				1																									1																		1				1								1																																									1																										1													1																																																																																																1																																																1																																							1																											1																																															1																																	1																																																			1		1																	
TCGA-HU-A4GD-01	1				1																																	1																												1																	1																																																																																																																																																																																																													1									1																																1																																		1																																																																																																																																									
