SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
99	10	30	26	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,ATXN1,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,CDC5L,NCK1,PAK1
100	10	30	26	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,ATXN1,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,CDC5L,NCK1,PAK1
101	10	30	26	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,ATXN1,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,CDC5L,NCK1,PAK1
102	10	30	26	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,ATXN1,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,CDC5L,NCK1,PAK1
103	10	31	26	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,ATXN1,CDH2,AKAP13,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,CDC5L,NCK1,PAK1
104	10	31	26	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,ATXN1,CDH2,AKAP13,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,CDC5L,NCK1,PAK1
105	10	32	25	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,SMAD2,NAV3,OBSCN,CRK,ATXN1,CDH2,AKAP13,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,CDC5L,NCK1,PAK1
106	10	33	25	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,SMAD2,NAV3,OBSCN,CRK,ATXN1,CDH2,AKAP13,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CNTNAP2,CDC42,SMAD9,DISC1,TNIK,CDC5L,NCK1,PAK1
107	10	33	25	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,SMAD2,NAV3,OBSCN,CRK,ATXN1,CDH2,AKAP13,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CNTNAP2,CDC42,SMAD9,DISC1,TNIK,CDC5L,NCK1,PAK1
108	10	33	25	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,SMAD2,NAV3,OBSCN,CRK,ATXN1,CDH2,AKAP13,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CNTNAP2,CDC42,SMAD9,DISC1,TNIK,CDC5L,NCK1,PAK1
