protein1	protein2	biogrid_id	interaction_type	pmid
SNRPD2	UBC	BIOGRID:560678;BIOGRID:621361;BIOGRID:624612;BIOGRID:630562;BIOGRID:847464;BIOGRID:851336;BIOGRID:943223	physical association	pubmed:16196087;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:24816145
SNRPD3	UBC	BIOGRID:1030185;BIOGRID:560679;BIOGRID:608077;BIOGRID:621360;BIOGRID:630561;BIOGRID:729939;BIOGRID:732085;BIOGRID:845487	physical association	pubmed:16196087;pubmed:18781797;pubmed:21139048;pubmed:21853274;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:25147182
SNRPE	SNRPF	BIOGRID:287726;BIOGRID:287728;BIOGRID:827283;BIOGRID:827285	direct interaction	pubmed:22365833;pubmed:9417867
SNRPE	UBC	BIOGRID:604959;BIOGRID:608075;BIOGRID:610300;BIOGRID:621358;BIOGRID:624610;BIOGRID:630560;BIOGRID:729441;BIOGRID:732086;BIOGRID:846139;BIOGRID:849839;BIOGRID:945886	physical association	pubmed:18781797;pubmed:20972266;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22053931;pubmed:22178446;pubmed:22505724;pubmed:23000965;pubmed:24816145
SNRPF	UBC	BIOGRID:608076;BIOGRID:621356;BIOGRID:624608;BIOGRID:630558;BIOGRID:732087;BIOGRID:850511	physical association	pubmed:18781797;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:22505724;pubmed:23000965
SNRPG	UBC	BIOGRID:621353;BIOGRID:624606;BIOGRID:630556;BIOGRID:732088;BIOGRID:850437;BIOGRID:945364	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:22505724;pubmed:23000965;pubmed:24816145
SNRPN	UBC	BIOGRID:630555;BIOGRID:732089;BIOGRID:845214;BIOGRID:849757;BIOGRID:943382	physical association	pubmed:21890473;pubmed:21906983;pubmed:22505724;pubmed:23000965;pubmed:24816145
SNTA1	UTRN	BIOGRID:276754;BIOGRID:888722	direct interaction;physical association	pubmed:18468998;pubmed:8576247
SNTB2	UBC	BIOGRID:621337;BIOGRID:630544;BIOGRID:814473	direct interaction;physical association	pubmed:21139048;pubmed:21906983;pubmed:23314748
SNUPN	UBC	BIOGRID:1031504;BIOGRID:621619;BIOGRID:626682;BIOGRID:630792;BIOGRID:730384;BIOGRID:846616;BIOGRID:932062	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:24326307;pubmed:25147182
SNUPN	XPO1	BIOGRID:318296;BIOGRID:857397	direct interaction	pubmed:10209022;pubmed:22833565
SNW1	UBC	BIOGRID:604960;BIOGRID:617898;BIOGRID:850424;BIOGRID:943566	physical association	pubmed:21139048;pubmed:22178446;pubmed:23000965;pubmed:24816145
SNW1	VDR	BIOGRID:314173;BIOGRID:314174;BIOGRID:314176;BIOGRID:317702;BIOGRID:317706	direct interaction	pubmed:11514567;pubmed:9632709
SNX1	SNX6	BIOGRID:314332;BIOGRID:895062	direct interaction;physical association	pubmed:11279102;pubmed:21988832
SNX1	UBC	BIOGRID:621340;BIOGRID:624577;BIOGRID:849746;BIOGRID:943287	physical association	pubmed:21139048;pubmed:21890473;pubmed:23000965;pubmed:24816145
SNX10	UBC	BIOGRID:625639;BIOGRID:627822;BIOGRID:846043	physical association	pubmed:21890473;pubmed:21906983;pubmed:21963094
SNX11	UBC	BIOGRID:618099;BIOGRID:850732	physical association	pubmed:21139048;pubmed:23000965
SNX12	UBC	BIOGRID:1031534;BIOGRID:618077;BIOGRID:627509;BIOGRID:845393;BIOGRID:847958;BIOGRID:851911;BIOGRID:945921	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:24816145;pubmed:25147182
SNX14	UBC	BIOGRID:1030163;BIOGRID:607224;BIOGRID:622966;BIOGRID:624242;BIOGRID:632045;BIOGRID:846259;BIOGRID:849972	physical association	pubmed:17370265;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:25147182
SNX17	UBC	BIOGRID:619406;BIOGRID:625672;BIOGRID:732747;BIOGRID:944506	physical association	pubmed:21139048;pubmed:21890473;pubmed:22505724;pubmed:24816145
SNX2	SNX6	BIOGRID:314328;BIOGRID:892029	direct interaction;physical association	pubmed:11279102;pubmed:21988832
SNX2	UBC	BIOGRID:610039;BIOGRID:614834;BIOGRID:621339;BIOGRID:624576;BIOGRID:630546;BIOGRID:850057;BIOGRID:942916	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:23000965;pubmed:24816145
SNX27	UBC	BIOGRID:621515;BIOGRID:626229;BIOGRID:630694;BIOGRID:851165;BIOGRID:944841	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:24816145
SNX3	UBC	BIOGRID:1030283;BIOGRID:327797;BIOGRID:621839;BIOGRID:625212;BIOGRID:630994;BIOGRID:732565;BIOGRID:847815;BIOGRID:851744	physical association	pubmed:18632802;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:23000965;pubmed:25147182
SNX4	UBC	BIOGRID:621841;BIOGRID:625214;BIOGRID:630996;BIOGRID:732564;BIOGRID:847063	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724
SNX5	UBC	BIOGRID:620527;BIOGRID:624906;BIOGRID:629769;BIOGRID:731067;BIOGRID:849674;BIOGRID:945199	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:22505724;pubmed:23000965;pubmed:24816145
SNX6	UBC	BIOGRID:1030135;BIOGRID:619301;BIOGRID:627083;BIOGRID:628627;BIOGRID:731902;BIOGRID:848568;BIOGRID:852000;BIOGRID:942949	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:22053931;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25147182
SNX7	TEX11	BIOGRID:1047399;BIOGRID:122030	direct interaction	pubmed:16189514;pubmed:25416956
SNX8	UBC	BIOGRID:618411;BIOGRID:627823;BIOGRID:851933	physical association	pubmed:21139048;pubmed:21906983;pubmed:23000965
SNX9	TNK2	BIOGRID:697470;BIOGRID:721391	physical association	pubmed:16137687;pubmed:16316319
SNX9	UBC	BIOGRID:558793;BIOGRID:619613;BIOGRID:623485;BIOGRID:628929;BIOGRID:845803;BIOGRID:945643	physical association	pubmed:20491914;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:24816145
SOAT1	UBC	BIOGRID:1030685;BIOGRID:610040;BIOGRID:621335;BIOGRID:624573;BIOGRID:630542;BIOGRID:732090;BIOGRID:847860;BIOGRID:851795;BIOGRID:943736	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25147182
SOCS1	TCEB1	BIOGRID:283453;BIOGRID:604114;BIOGRID:836747	physical association	pubmed:10051596;pubmed:21119685;pubmed:22787435
SOCS1	VAV1	BIOGRID:277268;BIOGRID:682454	physical association	pubmed:10022833;pubmed:10747851
SOCS2	TCEB1	BIOGRID:569288;BIOGRID:679131;BIOGRID:679143	direct interaction;physical association	pubmed:19159283;pubmed:21980433
SOCS3	TCEB1	BIOGRID:692148;BIOGRID:715299;BIOGRID:718137;BIOGRID:718138;BIOGRID:818067	direct interaction;physical association	pubmed:12783885;pubmed:15601820;pubmed:17135358;pubmed:22084247
SOCS3	TCEB2	BIOGRID:692147;BIOGRID:725529;BIOGRID:818066	physical association	pubmed:15601820;pubmed:16007195;pubmed:17135358
SOCS3	UBC	BIOGRID:715298;BIOGRID:845823	physical association	pubmed:21963094;pubmed:22084247
SOCS6	TCEB1	BIOGRID:486283;BIOGRID:608518	physical association	pubmed:12052866;pubmed:21030588
SOCS6	TCEB2	BIOGRID:486282;BIOGRID:608519	physical association	pubmed:12052866;pubmed:21030588
SOD1	STUB1	BIOGRID:477905;BIOGRID:558550	physical association	pubmed:15358145;pubmed:17157513
SOD1	UBC	BIOGRID:331502;BIOGRID:477907;BIOGRID:555187;BIOGRID:555773;BIOGRID:558551;BIOGRID:570447;BIOGRID:570448;BIOGRID:590068;BIOGRID:590069;BIOGRID:607656;BIOGRID:614744;BIOGRID:621334;BIOGRID:624571;BIOGRID:644269;BIOGRID:723820;BIOGRID:848516;BIOGRID:850277;BIOGRID:904804;BIOGRID:942705	direct interaction;physical association	pubmed:12145308;pubmed:15198682;pubmed:15358145;pubmed:15456787;pubmed:17157513;pubmed:17666395;pubmed:17992192;pubmed:19661182;pubmed:19741096;pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:22053931;pubmed:23000965;pubmed:23040663;pubmed:24023695;pubmed:24816145
SOD2	UBC	BIOGRID:569298;BIOGRID:589617;BIOGRID:621331;BIOGRID:624569;BIOGRID:851141	physical association	pubmed:20139358;pubmed:21139048;pubmed:21268071;pubmed:21890473;pubmed:23000965
SOLH	UBC	BIOGRID:609303;BIOGRID:621319;BIOGRID:624555;BIOGRID:630533;BIOGRID:846446;BIOGRID:848485	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22053931
SON	UBC	BIOGRID:1031410;BIOGRID:621318;BIOGRID:624554;BIOGRID:732091;BIOGRID:845667;BIOGRID:849332;BIOGRID:945828	physical association	pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25147182
SON	YWHAG	BIOGRID:243105;BIOGRID:574721	physical association	pubmed:15324660;pubmed:17353931
SORBS1	VCL	BIOGRID:288242;BIOGRID:288243;BIOGRID:676041	direct interaction;physical association	pubmed:10085297;pubmed:12765336
SORBS2	YWHAE	BIOGRID:1043280;BIOGRID:120552	direct interaction	pubmed:16189514;pubmed:25416956
SORD	SORD	BIOGRID:1042306;BIOGRID:121277	direct interaction	pubmed:16189514;pubmed:25416956
SORD	UBC	BIOGRID:608112;BIOGRID:621316;BIOGRID:630531;BIOGRID:732092;BIOGRID:847590;BIOGRID:944678	physical association	pubmed:18781797;pubmed:21139048;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:24816145
SORT1	UBC	BIOGRID:617685;BIOGRID:846079	physical association	pubmed:21139048;pubmed:21963094
SOS1	UBC	BIOGRID:426733;BIOGRID:675690	physical association	pubmed:10025673;pubmed:17389601
SOX10	UBC	BIOGRID:630504;BIOGRID:844972;BIOGRID:850098	physical association	pubmed:21890473;pubmed:21906983;pubmed:23000965
SOX2	SOX2	BIOGRID:615850;BIOGRID:863015	physical association	pubmed:21532573;pubmed:23667531
SOX3	SUMO1	BIOGRID:1036546;BIOGRID:505881	physical association	pubmed:15788563;pubmed:17549794
SOX8	UBC	BIOGRID:631155;BIOGRID:845333;BIOGRID:851179	physical association	pubmed:21890473;pubmed:21906983;pubmed:23000965
SOX9	UBC	BIOGRID:621292;BIOGRID:624516;BIOGRID:630505;BIOGRID:636031;BIOGRID:850440;BIOGRID:914626	physical association	pubmed:15694126;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:24155239
SP1	SP3	BIOGRID:1022782;BIOGRID:477852;BIOGRID:477856;BIOGRID:483576;BIOGRID:483579;BIOGRID:506156;BIOGRID:506159;BIOGRID:885775;BIOGRID:885785	direct interaction;physical association	pubmed:10825178;pubmed:11517158;pubmed:12200149;pubmed:12414801;pubmed:15247906;pubmed:16734381
SP1	SREBF2	BIOGRID:286350;BIOGRID:464580	direct interaction	pubmed:10976766;pubmed:20936779
SP1	STAT3	BIOGRID:470873;BIOGRID:519685;BIOGRID:519686;BIOGRID:656090	physical association	pubmed:16931573;pubmed:17471507;pubmed:21184768
SP1	SUMO1	BIOGRID:328067;BIOGRID:328068;BIOGRID:607217	direct interaction;physical association	pubmed:18239466;pubmed:18572193
SP1	TAF4	BIOGRID:289179;BIOGRID:800165	direct interaction;physical association	pubmed:11988536;pubmed:9742090
SP1	TP53	BIOGRID:430630;BIOGRID:471125;BIOGRID:477771;BIOGRID:482700;BIOGRID:482702;BIOGRID:482703;BIOGRID:482704;BIOGRID:504577;BIOGRID:504578;BIOGRID:545330;BIOGRID:644003;BIOGRID:736357;BIOGRID:823436;BIOGRID:823437;BIOGRID:854178;BIOGRID:953994	direct interaction;physical association	pubmed:12665570;pubmed:15674334;pubmed:15710382;pubmed:16740634;pubmed:18765668;pubmed:20570896;pubmed:21325822;pubmed:23650532;pubmed:8463313;pubmed:9492043;pubmed:9685344
SP1	UBC	BIOGRID:1036509;BIOGRID:328069;BIOGRID:328070;BIOGRID:571536;BIOGRID:590155;BIOGRID:607216;BIOGRID:723757;BIOGRID:945722	physical association	pubmed:17409431;pubmed:18239466;pubmed:18572193;pubmed:19245816;pubmed:19372209;pubmed:21983342;pubmed:24816145
SP1	VHL	BIOGRID:719891;BIOGRID:844023;BIOGRID:844024	direct interaction;physical association	pubmed:17486080;pubmed:9271438
SP1	YY1	BIOGRID:276583;BIOGRID:519694;BIOGRID:519695;BIOGRID:569008;BIOGRID:643946;BIOGRID:811685;BIOGRID:811686	direct interaction;physical association	pubmed:10224053;pubmed:17556661;pubmed:17990281;pubmed:21335086;pubmed:8327494
SP100	SP100	BIOGRID:1042329;BIOGRID:685642;BIOGRID:685643	direct interaction;physical association	pubmed:10212234;pubmed:25416956
SP100	SUMO1	BIOGRID:1032680;BIOGRID:1042330;BIOGRID:121678;BIOGRID:685646;BIOGRID:696017;BIOGRID:717235;BIOGRID:904709;BIOGRID:904726;BIOGRID:940328;BIOGRID:955848	direct interaction;physical association	pubmed:10212234;pubmed:15017387;pubmed:16189514;pubmed:16524884;pubmed:18538659;pubmed:24637324;pubmed:24654937;pubmed:25416956;pubmed:9412458
SP100	SUMO2	BIOGRID:1033740;BIOGRID:613784;BIOGRID:636873;BIOGRID:643822;BIOGRID:673686;BIOGRID:734929;BIOGRID:734933;BIOGRID:894151;BIOGRID:904703;BIOGRID:904727;BIOGRID:985250	direct interaction;physical association	pubmed:16524884;pubmed:17000644;pubmed:17491593;pubmed:19471022;pubmed:21252943;pubmed:21693764;pubmed:21988832;pubmed:22878415;pubmed:25027693
SP100	SUMO3	BIOGRID:1032681;BIOGRID:904728;BIOGRID:984658	direct interaction;physical association	pubmed:16524884;pubmed:18538659;pubmed:25027693
SP100	UBC	BIOGRID:630488;BIOGRID:845208;BIOGRID:849705;BIOGRID:939824;BIOGRID:955846;BIOGRID:955847	physical association	pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:24637324;pubmed:24654937
SP100	UBE2I	BIOGRID:1032682;BIOGRID:301418;BIOGRID:301424;BIOGRID:464582;BIOGRID:680412	direct interaction	pubmed:18538659;pubmed:18691969;pubmed:20805487;pubmed:20936779
SP140L	UBC	BIOGRID:606017;BIOGRID:631880;BIOGRID:732676;BIOGRID:846387;BIOGRID:850120	physical association	pubmed:21906983;pubmed:21963094;pubmed:22118674;pubmed:22505724;pubmed:23000965
SP3	SUMO2	BIOGRID:614125;BIOGRID:637113	physical association	pubmed:19471022;pubmed:21693764
SPAG1	UBC	BIOGRID:621276;BIOGRID:814583	direct interaction;physical association	pubmed:21139048;pubmed:23314748
SPAG5	UBC	BIOGRID:1031580;BIOGRID:619187;BIOGRID:627076;BIOGRID:944908	physical association	pubmed:21139048;pubmed:21890473;pubmed:24816145;pubmed:25147182
SPAG7	UBC	BIOGRID:620266;BIOGRID:623027;BIOGRID:942972	physical association	pubmed:21139048;pubmed:21890473;pubmed:24816145
SPAG9	UBC	BIOGRID:622526;BIOGRID:626240;BIOGRID:631618;BIOGRID:722874;BIOGRID:730304;BIOGRID:732606	physical association	pubmed:20173330;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:22053931;pubmed:22505724
SPATA5	UBC	BIOGRID:625169;BIOGRID:629024;BIOGRID:730745;BIOGRID:851463;BIOGRID:944103	physical association	pubmed:21890473;pubmed:21906983;pubmed:22505724;pubmed:23000965;pubmed:24816145
SPATA5L1	UBC	BIOGRID:1030660;BIOGRID:610041;BIOGRID:631948;BIOGRID:732294;BIOGRID:847249;BIOGRID:851080	physical association	pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22505724;pubmed:23000965;pubmed:25147182
SPATS2L	UBC	BIOGRID:617995;BIOGRID:944263	physical association	pubmed:21139048;pubmed:24816145
SPC24	UBC	BIOGRID:622609;BIOGRID:625419;BIOGRID:631696;BIOGRID:730679;BIOGRID:847741;BIOGRID:943889	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:24816145
SPC24	ZWINT	BIOGRID:577118;BIOGRID:838644	physical association	pubmed:15824131;pubmed:20360068
SPC25	UBC	BIOGRID:622127;BIOGRID:623091;BIOGRID:731851;BIOGRID:851951;BIOGRID:943068	physical association	pubmed:21139048;pubmed:21890473;pubmed:22505724;pubmed:23000965;pubmed:24816145
SPCS1	UBC	BIOGRID:620204;BIOGRID:624402;BIOGRID:629485;BIOGRID:731131;BIOGRID:848024;BIOGRID:851972	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:23000965
SPCS2	UBC	BIOGRID:1031211;BIOGRID:610042;BIOGRID:619398;BIOGRID:625670;BIOGRID:628711;BIOGRID:732750;BIOGRID:845480	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22505724;pubmed:25147182
SPCS3	UBC	BIOGRID:610043;BIOGRID:620548;BIOGRID:624767;BIOGRID:629787;BIOGRID:731939;BIOGRID:847698;BIOGRID:943900	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22505724;pubmed:24816145
SPECC1	UBC	BIOGRID:618829;BIOGRID:628203;BIOGRID:846362	physical association	pubmed:21139048;pubmed:21906983;pubmed:21963094
SPECC1L	UBC	BIOGRID:618095;BIOGRID:625152;BIOGRID:730935;BIOGRID:814637;BIOGRID:849317	direct interaction;physical association	pubmed:21139048;pubmed:21890473;pubmed:22505724;pubmed:23000965;pubmed:23314748
SPEN	UBC	BIOGRID:619357;BIOGRID:623239;BIOGRID:628672;BIOGRID:851270;BIOGRID:943153	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:24816145
SPG11	UBC	BIOGRID:1031191;BIOGRID:620115;BIOGRID:624090;BIOGRID:629402;BIOGRID:732344;BIOGRID:845654	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:25147182
SPG20	UBC	BIOGRID:1030284;BIOGRID:561148;BIOGRID:589880;BIOGRID:590864;BIOGRID:606101;BIOGRID:608231;BIOGRID:610044;BIOGRID:610471;BIOGRID:618948;BIOGRID:626627;BIOGRID:628307;BIOGRID:679255;BIOGRID:729305;BIOGRID:730892;BIOGRID:846470;BIOGRID:850225;BIOGRID:943937;BIOGRID:986186	physical association	pubmed:16196087;pubmed:18781797;pubmed:19307600;pubmed:19580544;pubmed:20504295;pubmed:20972266;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22053931;pubmed:22118674;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25015289;pubmed:25147182
SPG20	WWP1	BIOGRID:571409;BIOGRID:589882;BIOGRID:679246;BIOGRID:679253;BIOGRID:679256	direct interaction;physical association	pubmed:19307600;pubmed:19580544;pubmed:19765186
SPG21	TRAF2	BIOGRID:1042954;BIOGRID:119988	direct interaction	pubmed:16189514;pubmed:25416956
SPG21	UBC	BIOGRID:620030;BIOGRID:629324;BIOGRID:731492;BIOGRID:850221	physical association	pubmed:21139048;pubmed:21906983;pubmed:22505724;pubmed:23000965
SPHK1	UBC	BIOGRID:1035766;BIOGRID:621234	physical association	pubmed:21139048;pubmed:22227192
SPI1	TBP	BIOGRID:505084;BIOGRID:728359	direct interaction;physical association	pubmed:11593411;pubmed:8434021
SPICE1	UBC	BIOGRID:619743;BIOGRID:629062	physical association	pubmed:21139048;pubmed:21906983
SPIN1	UBC	BIOGRID:625049;BIOGRID:851658;BIOGRID:945490	physical association	pubmed:21890473;pubmed:23000965;pubmed:24816145
SPIN2A	UBC	BIOGRID:618175;BIOGRID:625115;BIOGRID:849592	physical association	pubmed:21139048;pubmed:21890473;pubmed:23000965
SPIN2B	UBC	BIOGRID:844897;BIOGRID:849263	physical association	pubmed:21890473;pubmed:23000965
SPIN4	UBC	BIOGRID:618798;BIOGRID:623911;BIOGRID:628168	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983
SPINK13	UBC	BIOGRID:1031084;BIOGRID:730704	physical association	pubmed:22505724;pubmed:25147182
SPINT2	UBC	BIOGRID:627012;BIOGRID:628467;BIOGRID:730479	physical association	pubmed:21890473;pubmed:21906983;pubmed:22505724
SPOP	SPOP	BIOGRID:1032594;BIOGRID:1032595;BIOGRID:716271	direct interaction;physical association	pubmed:15240113;pubmed:25278611
SPOP	UBC	BIOGRID:617761;BIOGRID:623186;BIOGRID:627212;BIOGRID:719292;BIOGRID:729689	physical association	pubmed:18218622;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:22053931
SPP1	UBQLN4	BIOGRID:327915;BIOGRID:720442	direct interaction	pubmed:11162551;pubmed:16713569
SPR	UBC	BIOGRID:607955;BIOGRID:621238;BIOGRID:624461;BIOGRID:849852;BIOGRID:945201	physical association	pubmed:18781797;pubmed:21139048;pubmed:21890473;pubmed:23000965;pubmed:24816145
SPRED1	UBC	BIOGRID:428211;BIOGRID:618781;BIOGRID:849830	physical association	pubmed:17094949;pubmed:21139048;pubmed:23000965
SPRED2	UBC	BIOGRID:428212;BIOGRID:730804	physical association	pubmed:17094949;pubmed:22505724
SPRY1	SPRY2	BIOGRID:1045167;BIOGRID:725669	direct interaction;physical association	pubmed:15004239;pubmed:25416956
SPRY2	UBC	BIOGRID:504865;BIOGRID:589905;BIOGRID:593410;BIOGRID:725675	physical association	pubmed:12593796;pubmed:15004239;pubmed:19864419;pubmed:22006925
SPRY2	ZDHHC17	BIOGRID:1045185;BIOGRID:1056274;BIOGRID:1056428	direct interaction;physical association	pubmed:24705354;pubmed:25416956
SPRY4	TESK1	BIOGRID:306189;BIOGRID:306190;BIOGRID:306191;BIOGRID:331046	direct interaction;physical association	pubmed:12027893;pubmed:17974561
SPRYD3	UBC	BIOGRID:618828;BIOGRID:626096;BIOGRID:628202;BIOGRID:848165;BIOGRID:852131	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965
SPRYD7	UBC	BIOGRID:561074;BIOGRID:614662;BIOGRID:622989;BIOGRID:624292;BIOGRID:632066;BIOGRID:848498	physical association	pubmed:16196087;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22053931
SPSB1	TCEB1	BIOGRID:569134;BIOGRID:679134;BIOGRID:818071	direct interaction;physical association	pubmed:15601820;pubmed:19159283;pubmed:21199876
SPSB2	TCEB1	BIOGRID:569135;BIOGRID:679133;BIOGRID:679144;BIOGRID:818075	direct interaction;physical association	pubmed:15601820;pubmed:19159283;pubmed:21199876
SPSB4	TCEB1	BIOGRID:569136;BIOGRID:679135;BIOGRID:679145;BIOGRID:818123	direct interaction;physical association	pubmed:15601820;pubmed:19159283;pubmed:21199876
SPTA1	UBC	BIOGRID:624084;BIOGRID:940880	direct interaction;physical association	pubmed:21890473;pubmed:9006945
SPTAN1	UBC	BIOGRID:620955;BIOGRID:624083;BIOGRID:630181;BIOGRID:850966;BIOGRID:944166	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:24816145
SPTB	UBC	BIOGRID:620948;BIOGRID:844901;BIOGRID:849310	physical association	pubmed:21139048;pubmed:21890473;pubmed:23000965
SPTBN1	SUMO2	BIOGRID:643823;BIOGRID:815991	physical association	pubmed:21252943;pubmed:23077236
SPTBN1	UBC	BIOGRID:463365;BIOGRID:606305;BIOGRID:620946;BIOGRID:624073;BIOGRID:630175;BIOGRID:732093;BIOGRID:847487;BIOGRID:851361;BIOGRID:944056	physical association	pubmed:16247473;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22108332;pubmed:22505724;pubmed:23000965;pubmed:24816145
SPTBN2	UBC	BIOGRID:620944;BIOGRID:729940;BIOGRID:845282;BIOGRID:850673	physical association	pubmed:21139048;pubmed:21853274;pubmed:21890473;pubmed:23000965
SPTBN4	UBC	BIOGRID:845220;BIOGRID:849843	physical association	pubmed:21890473;pubmed:23000965
SPTLC1	UBC	BIOGRID:1030339;BIOGRID:609304;BIOGRID:619549;BIOGRID:623564;BIOGRID:628862;BIOGRID:730460;BIOGRID:848185;BIOGRID:852154;BIOGRID:943006	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25147182
SPTLC2	UBC	BIOGRID:620330;BIOGRID:623133;BIOGRID:629597	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983
SPTY2D1	UBC	BIOGRID:560876;BIOGRID:621566;BIOGRID:943344	physical association	pubmed:16196087;pubmed:21139048;pubmed:24816145
SQLE	UBC	BIOGRID:1028788;BIOGRID:1030269;BIOGRID:620941;BIOGRID:624071;BIOGRID:630172;BIOGRID:849456;BIOGRID:935980	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:24449766;pubmed:24840124;pubmed:25147182
SQRDL	UBC	BIOGRID:605998;BIOGRID:943678	physical association	pubmed:22118674;pubmed:24816145
SQSTM1	SQSTM1	BIOGRID:1032939;BIOGRID:1044015;BIOGRID:270803;BIOGRID:601342;BIOGRID:680134;BIOGRID:682001;BIOGRID:682522;BIOGRID:722118;BIOGRID:722489;BIOGRID:884972;BIOGRID:887652;BIOGRID:904531;BIOGRID:939040	direct interaction;physical association	pubmed:12813044;pubmed:12887891;pubmed:15802564;pubmed:16169070;pubmed:16861740;pubmed:19931284;pubmed:21220506;pubmed:21517082;pubmed:21900206;pubmed:23989536;pubmed:24642144;pubmed:25311206;pubmed:25416956
SQSTM1	TP53	BIOGRID:1029370;BIOGRID:904646	direct interaction;physical association	pubmed:16793543;pubmed:25144556
SQSTM1	TRAF6	BIOGRID:278071;BIOGRID:278072;BIOGRID:573127;BIOGRID:683951;BIOGRID:722430;BIOGRID:825309;BIOGRID:825311;BIOGRID:872525;BIOGRID:872527;BIOGRID:886951;BIOGRID:890913	physical association	pubmed:10747026;pubmed:15340068;pubmed:15870274;pubmed:16874300;pubmed:19201866;pubmed:20974803;pubmed:23017601;pubmed:23911927
SQSTM1	TRIM55	BIOGRID:1022844;BIOGRID:682038	direct interaction;physical association	pubmed:15802564;pubmed:18157088
SQSTM1	TRIM63	BIOGRID:1022843;BIOGRID:682002	direct interaction	pubmed:15802564;pubmed:18157088
