SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
81	13	28	33	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,ERBB4,NRCAM,AR,ERBB3,ATN1,SMAD9
82	13	28	33	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,ERBB4,NRCAM,AR,ERBB3,ATN1,SMAD9
83	14	29	34	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,SMAD9
84	14	29	34	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,SMAD9
85	14	29	34	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,SMAD9
86	14	30	33	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,SMAD9,GRB2
87	14	31	32	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,ITGB1,SMAD9,GRB2
88	14	31	32	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,ITGB1,SMAD9,GRB2
89	14	31	32	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,ITGB1,SMAD9,GRB2
90	14	31	32	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,ITGB1,SMAD9,GRB2
91	14	32	31	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,ITGB1,SMAD9,CDC42,GRB2
92	14	32	31	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,ITGB1,SMAD9,CDC42,GRB2
93	14	32	31	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,ITGB1,SMAD9,CDC42,GRB2
94	14	32	31	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,ITGB1,SMAD9,CDC42,GRB2
95	14	33	31	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,CDKN2A,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,DSCAML1,ERBB4,NRCAM,AR,ERBB3,ATN1,ITGB1,SMAD9,CDC42,GRB2,CRK
