#VALUE = Log10 normalized expression of ORF																																
ORF	ORF_BNAME	P	A384	A744	A1224	A1824	A2496	B384	B744	B1224	B1824	B2496	C384	C744	C1224	C1824	C2496	D384	D744	D1224	D1824	D2496	E384	E744	E1224	E1824	E2496	F384	F744	F1224	F1824	F2496
aroP	b0112	3.329362	3.29305	3.264574	2.985164	3.18851	3.15239	3.273556	3.155638	3.01536	3.060654	3.005613	3.318468	3.315602	3.300313	3.37867	3.2382	3.295917	3.176661	3.166723	3.120664	3.119135	3.347518	3.300313	3.197493	3.212017	3.012876	3.232849	3.161181	3.222147	2.986502	2.967199
pdhR	b0113	2.566813	2.508906	2.505848	2.29199	2.416406	2.529164	2.559169	2.273261	2.377419	2.387165	2.364996	2.53031	2.514448	2.50451	2.626059	2.581147	2.51139	2.427682	2.522092	2.653579	2.654344	2.509097	2.455393	2.469154	2.526106	2.448131	2.461127	2.491896	2.500305	2.422904	2.457114
aceE	b0114	4.041838	4.009731	4.029989	3.860088	3.926214	3.909014	3.98049	3.938445	3.876524	3.847666	3.836772	4.022918	4.046999	4.022918	3.997309	3.932329	4.016229	4.029989	3.997309	4.046999	3.974184	4.009731	4.051585	4.076048	4.016229	3.959086	4.016229	4.035532	4.016229	3.909014	3.847666
aceF	b0115	3.86563	3.914556	3.926214	3.764913	3.841932	3.796065	3.881875	3.822438	3.693053	3.74733	3.69764	3.886462	3.920098	3.909014	3.832568	3.810398	3.841932	3.920098	3.870982	3.914556	3.86563	3.886462	3.920098	3.938445	3.881875	3.782304	3.876524	3.951823	3.909014	3.799887	3.764913
lpd	b0116	3.752299	3.742743	3.757077	3.648142	3.657888	3.716561	3.734526	3.651391	3.634381	3.676809	3.638777	3.752299	3.796065	3.799887	3.764913	3.770073	3.752299	3.74733	3.776189	3.822438	3.815749	3.688467	3.752299	3.738539	3.712547	3.716561	3.742743	3.786127	3.712547	3.676809	3.693053
acnB	b0118	3.573033	3.560038	3.577047	3.685218	3.577047	3.522961	3.570358	3.707578	3.716561	3.791287	3.716561	3.560038	3.676809	3.688467	3.664195	3.601892	3.591189	3.664195	3.648142	3.654831	3.629603	3.609154	3.66152	3.59463	3.676809	3.69764	3.584309	3.668782	3.622723	3.69764	3.673178
yacL	b0119	2.128205	2.3176	2.338622	2.340724	2.375316	2.231789	2.286639	2.358689	2.324097	2.261794	2.253194	2.260838	2.277274	2.281861	2.179806	2.162987	2.298488	2.309573	2.312248	2.252047	2.274981	2.306706	2.327155	2.3434	2.292755	2.262941	2.261794	2.260838	2.273261	2.309573	2.312248
speD	b0120	3.294006	3.360705	3.294006	3.254636	3.2382	3.420906	3.337198	3.37867	3.289801	3.274703	3.22272	3.345416	3.305855	3.30165	3.340255	3.185452	3.340255	3.318468	3.348282	3.522961	3.506716	3.41307	3.288081	3.354016	3.345416	3.315602	3.423964	3.449	3.329362	3.284832	3.246418
speE	b0121	3.223866	3.374656	3.329362	3.222147	3.240111	3.405235	3.427022	3.326686	3.290375	3.21756	3.247947	3.358793	3.317322	3.362043	3.423964	3.177999	3.283112	3.307002	3.296681	3.573033	3.584309	3.362043	3.274703	3.355162	3.322673	3.363763	3.439253	3.416702	3.342167	3.294006	3.314646
yacC	b0122	2.318746	2.416597	2.445264	2.414304	2.393281	2.460553	2.38277	2.367863	2.527635	2.51139	2.536235	2.383916	2.481003	2.484825	2.437046	2.522092	2.457114	2.428064	2.425197	2.495145	2.443544	2.364231	2.463994	2.464567	2.60217	2.548657	2.340724	2.308044	2.477563	2.478518	2.491896
