#VALUE = Log10 normalized expression of ORF																																
ORF	ORF_BNAME	P	A384	A744	A1224	A1824	A2496	B384	B744	B1224	B1824	B2496	C384	C744	C1224	C1824	C2496	D384	D744	D1224	D1824	D2496	E384	E744	E1224	E1824	E2496	F384	F744	F1224	F1824	F2496
hisR	b3797	3.091233	3.296681	3.435813	3.435813	3.330891	3.283112	3.45244	3.303944	3.398737	3.384021	3.369496	3.314646	3.23648	3.283112	3.180292	3.143789	3.329362	3.522961	3.384021	3.366247	3.531753	3.374656	3.317322	3.373127	3.340255	3.348282	3.302415	3.283112	3.410586	3.398737	3.49869
leuT	b3798	3.02568	3.15239	3.19023	3.251387	3.127544	3.183923	3.23648	3.305855	3.408866	3.272983	3.095246	3.191186	3.080148	3.165767	3.030267	2.790609	3.227115	3.433328	3.352105	3.294006	3.562522	3.246418	3.143789	3.210297	2.977519	3.294006	3.155638	3.111491	3.265721	3.235333	3.284832
ryiA	ryiA	3.202844	3.128118	3.083779	3.129838	3.289801	3.254636	3.142643	3.174368	3.15927	3.080912	3.267632	3.182777	3.139585	2.951145	3.08913	3.294006	3.200359	3.205137	3.216031	3.265721	3.248711	3.175514	3.13538	3.122576	3.231893	3.039632	3.230556	3.260561	3.139585	3.120664	3.048996
hemY	b3802	2.701167	2.610196	2.604463	2.58172	2.59376	2.597583	2.667722	2.635232	2.688936	2.678616	2.674793	2.655108	2.627588	2.646699	2.679189	2.714354	2.649566	2.630837	2.64173	2.651668	2.65186	2.644215	2.628352	2.644788	2.659504	2.660269	2.668487	2.692185	2.619943	2.573694	2.629881
hemX	b3803	2.817174	2.773026	2.721234	2.717221	2.73595	2.715501	2.771688	2.753342	2.810867	2.810867	2.775129	2.76844	2.759075	2.789271	2.780862	2.790991	2.757928	2.753342	2.73595	2.790991	2.757355	2.798063	2.770924	2.770159	2.786213	2.761559	2.813352	2.808383	2.750666	2.72047	2.731555
hemD	b3804	2.638481	2.67766	2.664091	2.606756	2.619561	2.612681	2.646699	2.813734	2.6897	2.717221	2.651668	2.662944	2.738052	2.6553	2.607521	2.685305	2.6811	2.674793	2.660842	2.668678	2.652815	2.666958	2.678042	2.656446	2.695434	2.697154	2.638481	2.685305	2.6897	2.619943	2.630837
hemC	b3805	2.79768	2.729452	2.79596	2.72391	2.72563	2.726777	2.790227	2.780862	2.730217	2.760604	2.765764	2.69314	2.811823	2.82329	2.694669	2.783729	2.709767	2.771688	2.760604	2.770924	2.798827	2.721616	2.771688	2.789462	2.766528	2.82501	2.760031	2.716265	2.751431	2.764044	2.79596
cyaA	b3806	2.582103	2.453864	2.400734	2.389459	2.400352	2.425197	2.429593	2.429593	2.490559	2.524195	2.533177	2.467434	2.457114	2.435709	2.549231	2.557066	2.50967	2.395957	2.50967	2.460553	2.422904	2.466478	2.459407	2.44106	2.50795	2.495145	2.427108	2.482723	2.455393	2.457114	2.446029
cyaY	b3807	2.125338	2.225864	2.246123	2.307279	2.294666	2.260265	2.257207	2.272114	2.221851	2.283772	2.364423	2.153049	2.240198	2.297533	2.210193	2.27823	2.183819	2.228731	2.289505	2.237522	2.364423	2.287595	2.277274	2.240007	2.249563	2.388312	2.086542	2.125911	2.215926	2.3176	2.367098
yifL	b4558	3.092571	3.044601	3.066961	3.048996	3.098304	3.080912	3.05645	3.029311	3.044601	3.046703	3.157167	3.000835	3.129838	3.030267	3.040778	3.157167	3.082441	2.979239	3.040778	3.033325	3.101744	3.007524	3.104228	3.039632	3.069446	3.122576	2.929167	2.950572	3.002747	3.050334	3.08741
dapF	b3809	2.711296	2.707856	2.698109	2.725056	2.701167	2.743021	2.689891	2.754297	2.621663	2.668487	2.750284	2.693331	2.78736	2.75315	2.695243	2.743021	2.726777	2.707856	2.780862	2.669251	2.697154	2.678616	2.738052	2.705372	2.72391	2.783729	2.605419	2.635232	2.678616	2.711296	2.749328
yigA	b3810	2.798063	2.764044	2.726777	2.764044	2.726777	2.777231	2.710532	2.831316	2.798063	2.836668	2.832654	2.736523	2.788316	2.767293	2.765764	2.798827	2.758693	2.754297	2.803222	2.792329	2.710532	2.770159	2.760604	2.789653	2.826539	2.803222	2.698109	2.746461	2.792329	2.765	2.784875
xerC	b3811	2.723527	2.717221	2.689891	2.654344	2.673647	2.716265	2.677087	2.781435	2.767293	2.836859	2.729452	2.723527	2.738052	2.738817	2.766528	2.726777	2.686642	2.696389	2.761559	2.709576	2.704416	2.69314	2.669251	2.736523	2.767293	2.804178	2.71875	2.764044	2.732319	2.702887	2.710914
yigB	b3812	2.467434	2.429784	2.459407	2.432077	2.389459	2.426344	2.447558	2.469154	2.497439	2.533177	2.533177	2.403028	2.465331	2.482914	2.443544	2.515977	2.426344	2.403792	2.526297	2.484825	2.486354	2.438193	2.446984	2.451189	2.508906	2.553053	2.449469	2.536617	2.487309	2.448131	2.50795
uvrD	b3813	2.090937	2.125911	2.135276	2.187259	2.145978	2.230642	2.13604	2.228731	2.086542	2.154961	2.120942	2.108711	2.076412	2.154387	2.162223	2.270012	2.194904	2.119987	2.255487	2.220895	2.272496	2.143685	2.133365	2.151712	2.127249	2.261985	2.122089	2.115209	2.181908	2.142538	2.239051
corA	b3816	2.170823	2.275936	2.275936	2.30747	2.210193	2.419464	2.232171	2.200446	2.171396	2.190508	2.094568	2.256825	2.210193	2.202739	2.145596	2.170059	2.416597	2.255487	2.374361	2.39997	2.403028	2.351618	2.303648	2.28511	2.114253	2.230833	2.247269	2.273452	2.228731	2.318555	2.264852
pldA	b3821	2.407997	2.44106	2.460553	2.536235	2.561653	2.613063	2.467434	2.44106	2.558404	2.533559	2.573694	2.433989	2.38277	2.467434	2.457114	2.543497	2.502408	2.52687	2.536617	2.549804	2.581147	2.495145	2.460553	2.55592	2.509097	2.546746	2.417935	2.507377	2.524195	2.477563	2.538719
recQ	b3822	2.232171	2.198917	2.166428	2.162223	2.180761	2.319128	2.183819	2.29543	2.250327	2.268674	2.290843	2.217455	2.211149	2.214015	2.279568	2.270776	2.257781	2.180952	2.283772	2.376845	2.411437	2.252811	2.189744	2.217455	2.266381	2.316835	2.234464	2.274216	2.271541	2.24918	2.272114
rhtC	b3823	2.28167	2.316835	2.31263	2.366143	2.267145	2.189744	2.277274	2.296577	2.203504	2.220895	2.24918	2.246123	2.420993	2.313968	2.189744	2.287021	2.359071	2.369009	2.375316	2.187641	2.21306	2.351809	2.416406	2.321995	2.353911	2.356205	2.247843	2.2509	2.338622	2.364231	2.327155
pldB	b3825	2.259501	2.242109	2.167956	2.169103	2.180952	2.319319	2.257781	2.235802	2.263132	2.269247	2.304795	2.203886	2.190508	2.21478	2.274216	2.362894	2.221851	2.14961	2.246123	2.250327	2.258927	2.238478	2.215926	2.196624	2.232744	2.255296	2.192801	2.126293	2.268292	2.256252	2.272496
yigL	b3826	2.363085	2.377801	2.401499	2.38277	2.373405	2.301928	2.380094	2.357351	2.507377	2.623765	2.544262	2.403792	2.391179	2.436473	2.436473	2.53031	2.396912	2.333271	2.38277	2.366143	2.318746	2.418699	2.3606	2.35028	2.465905	2.446029	2.376081	2.413157	2.381623	2.420993	2.384681
yigM	b3827	2.098582	2.177703	2.188788	2.366716	2.278039	2.311101	2.128205	2.311101	2.242109	2.243256	2.311101	2.143111	2.241153	2.26963	2.198917	2.195286	2.195286	2.279185	2.358689	2.344547	2.319128	2.177703	2.264852	2.276319	2.301928	2.255487	2.086733	2.196242	2.299061	2.348751	2.348751
metE	b3829	3.681013	3.707578	3.782304	3.932329	3.959086	3.951823	3.638777	3.894107	3.894107	3.959086	3.974184	3.770073	3.730512	3.901178	3.815749	4.046999	3.654831	3.776189	3.966921	3.944561	3.901178	3.742743	3.742743	3.920098	3.974184	3.951823	3.782304	3.909014	3.959086	3.914556	3.974184
udp	b3831	2.564902	2.569298	2.573884	2.446029	2.50451	2.452718	2.568724	2.429784	2.473167	2.457496	2.509097	2.534706	2.553053	2.51311	2.367098	2.363085	2.58172	2.577707	2.432077	2.400352	2.44106	2.57656	2.588409	2.538719	2.530884	2.506421	2.61421	2.577707	2.487883	2.465523	2.463229
ubiE	b3833	2.847561	2.898015	2.91426	2.981724	2.959555	2.914643	2.894384	2.977519	2.931843	2.963186	3.02568	2.891135	2.915789	2.952101	2.914643	2.952101	2.898015	2.912922	2.955923	2.993	2.976182	2.888077	2.941972	2.926683	2.978475	2.982488	2.875464	2.917509	2.919803	2.977519	2.950572
yigP	b3834	2.547511	2.653579	2.595481	2.69314	2.679189	2.659504	2.601787	2.707474	2.721425	2.743021	2.730026	2.61421	2.698683	2.637526	2.686642	2.714927	2.67078	2.637526	2.665811	2.771688	2.739772	2.679189	2.663326	2.666002	2.716839	2.712061	2.592232	2.635806	2.664855	2.721234	2.721425
ubiB	b3835	2.388312	2.35372	2.313586	2.340151	2.34684	2.27823	2.3606	2.44106	2.395766	2.405895	2.401881	2.380094	2.383916	2.437046	2.4445	2.368818	2.360027	2.340151	2.406468	2.469918	2.521519	2.329831	2.304795	2.384681	2.432077	2.473167	2.346267	2.407997	2.388312	2.381623	2.454247
tatA	b3836	2.94847	2.942736	2.932798	2.97255	2.960701	2.897251	2.955159	2.814498	2.85253	2.933945	2.981724	2.988413	2.955159	3.026827	3.046703	2.943883	2.855015	2.856353	2.931269	2.946177	3.028929	2.926301	2.94847	2.982488	2.94847	3.02052	2.907189	2.951145	2.955923	2.941208	3.04441
tatB	b3838	2.904514	2.943883	2.859028	2.937768	2.916745	2.967964	2.932798	2.909673	2.993	2.987648	2.993764	2.979239	2.916554	2.945412	2.967964	3.003702	2.955923	2.873935	2.931843	3.007524	2.986502	2.907189	2.903367	2.968919	2.995293	2.962612	2.908336	3.000071	2.965861	2.941972	2.951145
tatC	b3839	2.65186	2.57656	2.538719	2.613063	2.619943	2.627206	2.60217	2.61421	2.650713	2.703652	2.659504	2.644215	2.650713	2.68282	2.706901	2.671926	2.5628	2.549804	2.589174	2.65186	2.638481	2.577133	2.526106	2.601787	2.640966	2.704416	2.63313	2.707474	2.665237	2.613636	2.664855
tatD	b4483	2.479665	2.379138	2.393281	2.413157	2.43762	2.381623	2.455393	2.448131	2.553053	2.518461	2.533559	2.422713	2.396912	2.441633	2.493616	2.325053	2.437046	2.387357	2.496674	2.48559	2.491896	2.380094	2.376081	2.530884	2.50967	2.506803	2.418699	2.461127	2.48903	2.505848	2.515977
ubiD	b3843	2.557066	2.515594	2.548657	2.571782	2.562036	2.619943	2.569298	2.615356	2.559169	2.631792	2.637335	2.517506	2.534132	2.546173	2.590512	2.627014	2.52687	2.50107	2.615356	2.644788	2.687789	2.559169	2.546173	2.556684	2.60045	2.601405	2.540057	2.50795	2.546746	2.591276	2.574649
fre	b3844	2.809147	2.846223	2.781435	2.793858	2.727541	2.736523	2.806089	2.854441	2.932798	2.988413	2.869157	2.848517	2.856353	2.814498	2.83877	2.799209	2.865717	2.799209	2.876037	2.891135	2.859984	2.86285	2.809147	2.790227	2.848517	2.857881	2.790609	2.816027	2.811823	2.829214	2.837814
pepQ	b3847	2.976755	3.004658	3.084926	3.092571	3.075752	3.063139	3.057979	3.040778	3.074797	3.086455	3.08741	3.001409	3.066197	3.115122	2.968919	3.034472	3.005613	3.090468	3.157167	3.108051	3.098304	2.979239	3.063903	3.124104	3.105948	3.157167	3.019373	3.04613	3.074032	3.07881	3.098304
yigZ	b3848	2.468198	2.533177	2.539293	2.502408	2.5628	2.515977	2.518461	2.59376	2.588027	2.601405	2.567387	2.535853	2.523048	2.564902	2.549804	2.627206	2.474696	2.577898	2.542542	2.629881	2.588409	2.479092	2.533559	2.57312	2.601405	2.564329	2.540822	2.550378	2.580382	2.582676	2.539293
trkH	b3849	2.240007	2.178086	2.189744	2.196624	2.192037	2.246696	2.258927	2.28511	2.2509	2.236185	2.233318	2.246696	2.242109	2.230642	2.257207	2.279185	2.222233	2.209811	2.289697	2.304795	2.336329	2.214015	2.190508	2.277274	2.250327	2.307279	2.211149	2.216882	2.272114	2.266381	2.273261
hemG	b3850	2.363658	2.303648	2.321995	2.329831	2.357734	2.44106	2.33824	2.357734	2.35372	2.374169	2.357351	2.30059	2.34168	2.325053	2.340724	2.414113	2.302501	2.270776	2.376081	2.417553	2.423095	2.321995	2.335564	2.333271	2.398823	2.336711	2.305942	2.332506	2.348751	2.364423	2.358689
ileT	b3852	2.987648	3.142643	3.165767	3.218706	3.347518	3.29305	3.223866	3.079192	3.363763	3.13538	3.133278	3.039632	3.116269	3.103273	3.29305	3.019373	3.210297	3.206284	3.194817	3.367012	3.408866	3.121047	3.117798	3.171692	3.177999	3.278717	3.278717	3.046703	3.198448	3.355162	3.30165
alaT	b3853	2.798254	3.022431	3.021667	3.115122	3.108051	3.130985	3.083779	2.900691	3.300313	3.168634	3.069446	2.939487	2.893811	2.710914	3.105948	2.829214	3.083779	3.112447	3.059125	3.314646	3.214502	2.986884	2.993	3.00848	3.095246	3.055303	3.007524	2.952101	3.023769	3.171692	3.00848
yihD	b3858	2.872406	2.971404	3.047467	2.465331	2.760604	2.814498	2.945412	2.487883	2.043923	2.155725	2.327155	2.90222	3.048996	3.027209	2.888077	3.0941	2.929167	2.878713	2.804178	2.793858	2.879477	2.926683	2.976755	2.841254	2.965861	2.495336	3.041925	2.953057	2.872406	2.637526	2.582103
yihE	yihE	2.866864	2.835712	2.796725	2.725248	2.743786	2.771688	2.855015	2.71875	2.701932	2.704416	2.750666	2.882153	2.826539	2.875655	2.820232	2.775893	2.811823	2.826921	2.920758	2.830361	2.875464	2.761559	2.781435	2.834756	2.826921	2.792329	2.84393	2.829214	2.85425	2.780862	2.86457
dsbA	b3860	3.133278	3.202271	3.231893	3.243169	3.234187	3.148567	3.177425	3.197493	3.192333	3.182777	3.193479	3.164047	3.201315	3.254636	3.096584	3.130985	3.201315	3.257885	3.354016	3.198448	3.206284	3.129838	3.162328	3.259414	3.245271	3.243933	3.21756	3.267632	3.241831	3.154301	3.170354
polA	b3863	2.50107	2.630837	2.627588	2.646508	2.620326	2.605036	2.586116	2.671926	2.542542	2.559742	2.468198	2.623765	2.6811	2.619179	2.563564	2.530884	2.582103	2.638099	2.543497	2.550378	2.554009	2.60905	2.655108	2.580765	2.568724	2.564902	2.577898	2.577898	2.588409	2.592041	2.567387
yihA	b3865	2.712061	2.847561	2.933945	2.955923	2.904514	2.793858	2.872406	2.832081	2.879477	2.945412	2.90222	2.872406	2.86285	2.899927	2.839534	2.810867	2.813352	2.907189	2.980959	2.952101	3.029311	2.798254	2.801885	2.887313	2.901264	2.930696	2.875655	2.901264	2.893811	2.893811	2.964906
csrC	b4457	3.550291	3.480151	3.496588	3.553158	3.570358	3.327642	3.506716	3.472507	3.565771	3.59463	3.520095	3.437151	3.343504	3.335478	3.469258	3.560038	3.420906	3.435813	3.257885	3.376567	3.360705	3.469258	3.414981	3.475183	3.601892	3.573033	3.51589	3.459702	3.449	3.529459	3.407337
yihI	b3866	2.44278	2.405704	2.401881	2.529164	2.438193	2.426726	2.401499	2.535853	2.459407	2.493616	2.534132	2.334609	2.358689	2.429019	2.478518	2.489412	2.340151	2.437046	2.482914	2.476225	2.522092	2.398823	2.428064	2.451571	2.43246	2.524195	2.306706	2.374169	2.448131	2.396912	2.47202
hemN	b3867	2.686642	2.654153	2.710532	2.457114	2.528399	2.620326	2.67766	2.552098	2.429593	2.482723	2.409908	2.663326	2.700212	2.721616	2.638481	2.715501	2.638481	2.697154	2.702887	2.695434	2.750284	2.657211	2.664091	2.685305	2.672882	2.547511	2.714354	2.707856	2.672882	2.433989	2.414113
glnG	b3868	2.281861	2.126293	2.246123	2.225291	2.204459	2.199491	2.193566	2.215162	2.231789	2.237331	2.222806	2.160121	2.197388	2.221851	2.199491	2.279568	2.236185	2.199491	2.274216	2.366716	2.319319	2.178086	2.205415	2.208091	2.233318	2.231789	2.20618	2.179041	2.228922	2.239051	2.240007
glnL	b3869	2.3176	2.22682	2.393854	2.298488	2.256252	2.319702	2.217264	2.285683	2.353911	2.364231	2.340724	2.267145	2.211913	2.270012	2.305942	2.363658	2.263132	2.30059	2.383916	2.49419	2.403792	2.253194	2.270967	2.294092	2.331933	2.27823	2.235038	2.217264	2.308044	2.342444	2.328875
glnA	b3870	3.525828	3.424919	3.459702	3.405235	3.38899	3.294006	3.376567	3.374656	3.416702	3.469258	3.506716	3.446515	3.478049	3.478049	3.38555	3.478049	3.427022	3.398737	3.416702	3.396443	3.373127	3.437151	3.459702	3.435813	3.469258	3.449	3.437151	3.49869	3.450529	3.427022	3.45244
bipA	bipA	3.488178	3.581443	3.664195	3.738539	3.688467	3.759944	3.597878	3.742743	3.618519	3.638777	3.712547	3.536148	3.644319	3.638777	3.480151	3.654831	3.622723	3.721339	3.742743	3.832568	3.836772	3.591189	3.654831	3.644319	3.707578	3.676809	3.618519	3.721339	3.66152	3.681013	3.700698
yihX	b3885	2.502025	2.396912	2.356396	2.356205	2.340724	2.348751	2.420993	2.35028	2.281861	2.336329	2.385828	2.393281	2.377419	2.351809	2.333271	2.381623	2.426726	2.387547	2.359071	2.314924	2.31263	2.419464	2.391179	2.417553	2.368818	2.356396	2.409908	2.374361	2.327155	2.364996	2.280141
rbn	b2268	2.260265	2.207517	2.157254	2.050612	2.094568	2.137569	2.243256	2.201402	2.141392	2.156299	2.164325	2.222233	2.205033	2.183819	2.211149	2.088453	2.237331	2.210193	2.207517	2.140818	2.17541	2.178277	2.191081	2.174837	2.21478	2.203886	2.206753	2.206753	2.192801	2.124	2.166428
dtd	b3887	2.461509	2.533559	2.484443	2.457496	2.529164	2.516359	2.48062	2.502025	2.526106	2.540057	2.556684	2.524195	2.57656	2.483487	2.500496	2.549804	2.555729	2.43762	2.423095	2.476798	2.392134	2.479665	2.569298	2.441633	2.510434	2.524386	2.484825	2.537382	2.437046	2.465905	2.472976
yiiD	b3888	2.33824	2.367863	2.346267	2.356396	2.379138	2.38277	2.348751	2.448704	2.460553	2.482914	2.402646	2.344929	2.377801	2.34168	2.417553	2.414304	2.371685	2.357351	2.336329	2.377419	2.319702	2.322377	2.380859	2.301737	2.399014	2.388312	2.390605	2.388312	2.300017	2.365378	2.32964
fdhE	b3891	2.389459	2.389459	2.384108	2.420419	2.400734	2.44106	2.352956	2.430548	2.408379	2.448131	2.395001	2.380667	2.366143	2.402646	2.358498	2.395001	2.388312	2.404748	2.43246	2.470683	2.44106	2.372258	2.400734	2.425197	2.414304	2.436473	2.384681	2.422713	2.38277	2.391179	2.385063
fdoI	b3892	2.232744	2.172352	2.03475	2.125911	2.124	2.119987	2.094186	2.103742	2.052714	2.026914	2.103168	2.193566	2.134702	2.145978	2.387165	2.3262	2.120942	2.06915	2.137569	2.193566	2.253194	2.120942	2.111578	2.088453	2.181334	2.073546	2.132791	2.207517	2.126293	2.154387	2.054434
fdoG	b3894	2.72391	2.515977	2.49419	2.313586	2.390605	2.497439	2.548275	2.400734	2.142538	2.252047	2.217455	2.536235	2.52343	2.638099	2.813734	2.762324	2.527635	2.536617	2.570636	2.712061	2.757928	2.592041	2.546746	2.539293	2.64173	2.364423	2.639819	2.685687	2.59873	2.435135	2.414304
sodA	b3908	3.664195	3.591189	3.681013	3.894107	3.738539	3.49869	3.664195	3.734526	3.764913	3.854546	3.914556	3.673178	3.759944	3.832568	3.759944	3.822438	3.587749	3.644319	3.712547	3.648142	3.618519	3.581443	3.634381	3.685218	3.764913	3.901178	3.673178	3.74733	3.738539	3.876524	3.886462
yiiM	b3910	2.171396	2.159548	2.126293	2.132982	2.146743	2.075839	2.08635	2.145978	2.192801	2.119222	2.179041	2.143685	2.157254	2.140436	2.014874	2.122089	2.184392	2.130307	2.154578	2.135276	2.075457	2.160121	2.197388	2.133365	2.192037	2.131071	2.149036	2.16165	2.115209	2.16165	2.033985
cpxA	b3911	2.469154	2.524195	2.469918	2.475652	2.471256	2.433606	2.53031	2.509097	2.484443	2.534132	2.495336	2.527635	2.50279	2.554773	2.580765	2.405704	2.55592	2.491323	2.553053	2.566813	2.544453	2.533177	2.48062	2.557066	2.554773	2.538719	2.592996	2.584778	2.557066	2.524386	2.548657
cpxR	b3912	2.959172	2.932798	2.897251	2.929167	2.886166	2.841254	2.926683	2.789462	2.859984	2.837814	2.947705	2.964906	2.916745	2.932798	2.932798	2.830361	2.923243	2.879477	2.909673	2.863424	2.881006	2.908336	2.891135	2.928212	2.912922	2.916745	2.949425	2.941208	2.9091	2.894384	2.932798
cpxP	b4484	3.191186	3.154301	3.105948	2.973124	2.976182	2.941972	3.177999	2.803222	2.912922	2.844886	2.903367	3.128118	3.013831	3.044601	3.003702	3.048996	3.134616	3.077281	3.216604	3.034472	2.959555	3.130985	3.003702	3.195964	3.082441	2.901264	3.12506	3.059125	3.149905	3.063903	3.088557
fieF	b3915	2.495145	2.482341	2.502408	2.446984	2.517697	2.527635	2.514448	2.461509	2.484825	2.534706	2.502408	2.443544	2.465523	2.519799	2.540057	2.575222	2.441633	2.48559	2.544262	2.527635	2.58172	2.467434	2.461127	2.486354	2.489985	2.553435	2.49419	2.452144	2.498012	2.495336	2.500305
pfkA	b3916	3.204373	3.230556	3.179146	3.116269	3.162328	3.138247	3.205137	3.084926	3.057979	3.128118	3.157358	3.216604	3.193479	3.18851	3.133278	3.194817	3.202271	3.12506	3.127544	3.091233	3.154301	3.19023	3.135954	3.077281	3.083779	3.157358	3.256356	3.202271	3.114357	3.079192	3.148567
sbp	b3917	2.713398	2.61077	2.664855	2.893811	2.804178	2.752386	2.725248	2.764044	2.746461	2.90222	2.876802	2.714927	2.622237	2.722572	2.624721	2.65186	2.50279	2.546173	2.650331	2.534132	2.582103	2.577707	2.534132	2.608476	2.642495	2.908336	2.615356	2.550569	2.707856	2.75315	2.690847
tpiA	b3919	3.205137	3.202844	3.210297	3.220044	3.210297	3.247947	3.186599	3.154301	3.197493	3.225969	3.212017	3.207813	3.202271	3.228262	3.175514	3.195964	3.2382	3.179146	3.21756	3.147803	3.170354	3.191186	3.182777	3.182777	3.193479	3.22272	3.262089	3.240111	3.207813	3.180292	3.197493
fpr	b3924	2.582676	2.397294	2.475652	2.427108	2.347605	2.288932	2.448131	2.463229	2.395957	2.415068	2.495718	2.397294	2.503554	2.475652	2.479092	2.479092	2.409143	2.473932	2.433606	2.356205	2.404748	2.399014	2.491323	2.478518	2.448131	2.484443	2.400734	2.375316	2.424433	2.478136	2.455202
glpX	b3925	2.022709	2.144258	2.167956	2.345311	2.267527	2.356396	2.103168	2.193566	2.242682	2.273452	2.311675	2.089408	2.094759	2.203504	2.177703	2.261985	2.132982	2.217264	2.256252	2.356396	2.336711	2.104888	2.167956	2.218411	2.234464	2.30747	2.070488	2.241153	2.216882	2.318746	2.24918
yiiU	yiiU	2.988413	2.926683	3.039632	3.031987	2.976755	2.942736	3.029311	3.05645	3.080912	3.012876	3.01192	2.911776	2.903367	3.055303	2.981724	3.050334	2.914643	2.97255	2.981724	2.937768	3.030267	2.945412	2.961848	3.009818	3.02052	3.071166	2.988413	2.989751	3.01708	3.001409	3.068299
rraA	b3929	2.873171	2.99816	3.022431	2.885975	2.804943	2.684731	2.89534	2.89534	2.811823	2.831316	2.775893	2.920758	2.989751	2.833419	2.766528	2.784302	2.957261	2.973124	2.808383	2.876802	2.909673	2.946177	2.962612	2.826539	2.837814	2.834183	2.939487	2.873935	2.837814	2.884829	2.856353
hslU	b3931	3.074797	3.216604	3.281965	3.15927	3.099068	3.119709	3.16787	3.38555	3.096584	3.170354	3.158314	3.155638	3.186599	3.179146	3.072886	3.212973	3.29305	3.317322	3.284832	3.124104	3.145509	3.22272	3.2382	3.212017	3.210297	3.205137	3.157167	3.220044	3.200359	3.140732	3.179146
hslV	b3932	3.278717	3.408866	3.45244	3.288081	3.317322	3.295917	3.350194	3.493912	3.246418	3.260561	3.371598	3.315602	3.376567	3.337198	3.338344	3.4662	3.371598	3.437151	3.345416	3.230556	3.286934	3.329362	3.437151	3.374656	3.380581	3.350194	3.335478	3.319424	3.350194	3.309677	3.360705
ftsN	b3933	2.432077	2.454056	2.436473	2.50795	2.479092	2.592041	2.435135	2.48903	2.498012	2.465905	2.534706	2.4445	2.422522	2.450042	2.49419	2.618988	2.489412	2.438193	2.571018	2.559742	2.513875	2.457114	2.481003	2.487309	2.50107	2.484825	2.401499	2.435709	2.476225	2.515594	2.527635
cytR	b3934	2.273452	2.227776	2.298488	2.321613	2.302119	2.362894	2.265807	2.322951	2.288359	2.364423	2.373214	2.274216	2.302501	2.403028	2.417935	2.303648	2.184966	2.279568	2.384108	2.344929	2.373405	2.188215	2.20618	2.311675	2.320848	2.446984	2.28511	2.344547	2.327155	2.335564	2.446984
rpmE	b3936	3.38899	3.520095	3.520095	3.416702	3.478049	3.556597	3.601892	3.369496	3.366247	3.391092	3.454542	3.490854	3.490854	3.504997	3.622723	3.504997	3.386887	3.504997	3.376567	3.520095	3.693053	3.525828	3.4662	3.437151	3.396443	3.612021	3.542837	3.394914	3.41307	3.391092	3.584309
metJ	b3938	2.75315	2.709385	2.809147	2.706901	2.744359	2.743404	2.773026	2.727541	2.689891	2.705372	2.616121	2.757355	2.628352	2.806089	2.793858	2.784875	2.759075	2.759266	2.910629	2.94675	2.921905	2.75315	2.714354	2.905278	2.86113	2.692185	2.659504	2.809147	2.873171	2.661033	2.74971
metB	b3939	2.450042	2.557831	2.628352	2.731555	2.701932	2.660269	2.530884	2.691803	2.651668	2.83877	2.68282	2.536617	2.583822	2.698109	2.633703	2.557831	2.427108	2.566813	2.688936	2.847561	2.777231	2.533559	2.56968	2.626059	2.756399	2.770159	2.605801	2.64173	2.679189	2.753342	2.711296
metL	b3940	2.260838	2.339195	2.402646	2.552098	2.517697	2.536617	2.380859	2.50967	2.50795	2.601787	2.496674	2.311101	2.289697	2.422904	2.387357	2.423095	2.302884	2.426726	2.544453	2.652815	2.61249	2.363085	2.368818	2.452144	2.51139	2.565667	2.35372	2.422904	2.50795	2.495718	2.482723
metF	b3941	2.959555	3.057979	3.191186	3.374656	3.30165	3.177425	2.878713	3.253107	3.205137	3.295917	3.253107	3.099068	3.050334	3.214502	3.170354	2.898971	2.929741	3.080148	3.366247	3.37867	3.323819	3.01708	3.01536	3.212973	3.29305	3.295917	3.08913	3.134616	3.267632	3.319424	3.408866
katG	b3942	2.639819	2.654344	2.675558	2.646699	2.563564	2.51999	2.637335	2.755062	2.640202	2.6897	2.719514	2.6553	2.672882	2.656446	2.50107	2.597009	2.692185	2.719514	2.703652	2.541777	2.536617	2.620326	2.648037	2.651668	2.631792	2.660842	2.698683	2.716839	2.627206	2.638099	2.654344
yijP	yijP	2.565667	2.631028	2.637526	2.648037	2.702887	2.727541	2.612681	2.765	2.661033	2.6553	2.700785	2.615356	2.635806	2.648037	2.695434	2.627588	2.607521	2.661033	2.605801	2.689891	2.705372	2.680145	2.67078	2.63313	2.643068	2.69314	2.640202	2.623192	2.606756	2.65186	2.618606
ppc	b3956	3.591189	3.439253	3.424919	3.391092	3.442311	3.506716	3.437151	3.414981	3.420906	3.488178	3.485312	3.439253	3.536148	3.506716	3.408866	3.506716	3.373127	3.45244	3.444986	3.38899	3.410586	3.424919	3.485312	3.513597	3.496588	3.556597	3.472507	3.462569	3.398737	3.428933	3.472507
argE	b3957	2.701932	2.678042	2.817556	3.0941	3.01708	3.048996	2.739772	3.019373	3.046703	3.135954	3.170354	2.684731	2.759266	2.841254	2.750284	2.985164	2.650331	2.779524	2.901264	3.012876	2.922478	2.693331	2.730217	2.841828	2.861895	3.150861	2.719514	2.765	2.846223	3.174368	3.180292
