MYC,BCAT1,any
>BAX,7.418683934578276
BAX,MYC,any
BAX,TP53,any
MYC,TERT,any
>KAT5,6.956885673257579
MYC,KAT5,any
AKT1,MYC,any
KAT5,TP53,any
>KAT5,6.924896908528309
KAT5,MYC,any
KAT5,TP53,any
TRIB3,KAT5,any
>KAT5,7.29972820888781
TP53,KAT5,any
CCNE1,RB1,any
RB1,TP53,any
>KAT5,7.113167560811765
TP53,MYC,any
MYC,KAT5,any
MCL1,TP53,any
>KAT5,7.183625613610385
KAT5,MYC,any
MYC,TERT,any
TP53,KAT5,any
>ABL1,7.597119777257366
RB1,ABL1,any
MYC,RB1,any
RB1,TP53,any
>ABL1,7.634372455325624
RB1,ABL1,any
ABL1,TERT,any
RB1,TP53,any
>ABL1,7.7233509053555895
ABL1,RB1,any
RB1,MYC,any
RB1,CCNE1,any
>ABL1,7.478875894867714
ABL1,RB1,any
RB1,TP53,any
ABL1,SHANK3,any
>ABL1,7.6410646823188175
MYC,TP53,any
TERT,MYC,any
TERT,ABL1,any
>CCNE1,7.96661480640654
RB1,MYC,any
CCNE1,RB1,any
RB1,TP53,any
>CCNE1,8.130963771577797
MYC,RB1,any
RB1,CCNE1,any
BCAT1,MYC,any
>CCNE1,7.909703569750849
TGFB2,RB1,any
RB1,CCNE1,any
RB1,TP53,any
>CCNE1,8.071327378683987
CTBP1,RB1,any
RB1,CCNE1,any
RB1,TP53,any
>CCNE1,7.960816745324245
CCNE1,RB1,any
RB1,SMARCA2,any
RB1,TP53,any
>SKP2,7.195211431382387
TP53,MYC,any
SKP2,TP53,any
MYC,BCAT1,any
>SKP2,7.183625613610385
SKP2,TP53,any
MYC,TERT,any
SKP2,MYC,any
>SKP2,7.29972820888781
SKP2,TP53,any
SKP2,RB1,any
RB1,CCNE1,any
>SKP2,7.160833458055891
RNF144B,TP53,any
TP53,SKP2,any
SKP2,MYC,any
>SKP2,7.240068807671685
SKP2,TP53,any
TAF4B,MYC,any
MYC,SKP2,any
>ATM,7.577509159532929
MYC,TP53,any
TAF4B,MYC,any
TP53,ATM,any
>ATM,7.343797725284872
RNF144B,TP53,any
TP53,MCL1,any
TP53,ATM,any
>ATM,7.48543447155575
TP53,MYC,any
TP53,RB1,any
ATM,TP53,any
>ATM,7.521878915600771
TP53,MYC,any
MYC,TERT,any
ATM,TP53,any
>ATM,7.377512783215596
TP53,MYC,any
TP53,RNF144B,any
ATM,TP53,any
>STK11,7.474507182399128
MYC,TP53,any
STK11,MYC,any
MYC,CTBP1,any
>STK11,7.677196970349188
MYC,TP53,any
STK11,MYC,any
MYC,TERT,any
>STK11,7.6405520625550025
STK11,MYC,any
MYC,RB1,any
RB1,TP53,any
>STK11,7.552698044587695
STK11,MYC,any
MYC,BCAT1,any
STK11,SMARCD3,any
>STK11,7.686427790919404
MYC,TP53,any
MYC,STK11,any
BCAT1,MYC,any
>CREBBP,7.5536920833638845
MYC,TP53,any
TAF4B,MYC,any
MYC,CREBBP,any
>CREBBP,7.626527097058621
MYC,RB1,any
RB1,TP53,any
CREBBP,MYC,any
>CREBBP,7.461433403288439
MYC,TP53,any
CTBP1,MYC,any
CTBP1,CREBBP,any
>CREBBP,7.25040165171751
MYC,TP53,any
PPP2R5A,MYC,any
MYC,CREBBP,any
>CREBBP,7.432038559202282
MYC,TP53,any
MYC,AKT1,any
MYC,CREBBP,any
>TP53I3,7.231162780112651
TP53I3,TP53,any
TP53,RNF144B,any
TP53I3,FUNDC2,any
>TP53I3,7.2827295220133115
MCL1,AKT1,any
TP53I3,TP53,any
TP53,MCL1,any
>TP53I3,7.552504715988953
MYC,TP53,any
TP53,TP53I3,any
TAF4B,MYC,any
>TP53I3,7.227687004337892
TP53,TP53I3,any
TP53,RNF144B,any
COL18A1,TP53,any
>TP53I3,7.218629352689429
BCL2L1,TP53,any
TP53,MYC,any
TP53,TP53I3,any
>CHD3,7.057885407944438
CTBP1,MYC,any
CHD3,TP53,any
CTBP1,CHD3,any
>CHD3,6.948961204096536
TP53,MYC,any
CHD3,TP53,any
PXDN,CHD3,any
>CHD3,6.874048515574877
CHD3,TP53,any
TP53,RB1,any
CHD3,CTBP1,any
>CHD3,6.8148146338655895
CHD3,TP53,any
PXDN,CHD3,any
TP53,MCL1,any
>CHD3,7.140236199209742
CHD3,TP53,any
RB1,MYC,any
TP53,RB1,any
>TBP,7.580836872108679
RB1,TBP,any
RB1,MYC,any
RB1,TP53,any
>TBP,7.837867058295176
RB1,MYC,any
MYC,TBP,any
CCNE1,RB1,any
>TBP,7.704824989908061
TBP,RB1,any
RB1,CCNE1,any
RB1,TP53,any
>TBP,7.517980064956888
RB1,TBP,any
TP53,RNF144B,any
RB1,TP53,any
>TBP,7.551274993114439
MYC,TP53,any
MYC,TBP,any
BCAT1,MYC,any
>MET,7.140853906975283
RB1,MYC,any
RB1,TP53,any
RB1,MET,any
>MET,7.138489665394163
TP53,MYC,any
MET,TP53,any
PAK4,MET,any
>MET,7.298311656043115
RB1,MYC,any
CCNE1,RB1,any
RB1,MET,any
>MET,7.0037274087473245
TP53,MYC,any
MET,TP53,any
GAB2,MET,any
>MET,7.290473704062368
MET,TP53,any
RB1,CCNE1,any
MET,RB1,any
>RIF1,6.778881702030887
RIF1,ATF3,any
MRPS12,RIF1,any
ATF3,TP53,any
>RIF1,7.008663904482877
TP53,MYC,any
ARL3,TP53,any
ARL3,RIF1,any
>RIF1,6.856578129231694
RIF1,PABPC4,any
ATF3,RIF1,any
ATF3,TP53,any
>RIF1,6.919792208163268
TP53,MYC,any
ZNF24,TP53,any
ZNF24,RIF1,any
>RIF1,7.163247681580287
MYC,TP53,any
RIF1,ID2,any
ID2,MYC,any
>RB1,7.96661480640654
RB1,MYC,any
CCNE1,RB1,any
RB1,TP53,any
>RB1,8.130963771577797
MYC,RB1,any
RB1,CCNE1,any
BCAT1,MYC,any
>RB1,7.909703569750849
TGFB2,RB1,any
RB1,CCNE1,any
RB1,TP53,any
>RB1,8.071327378683987
CTBP1,RB1,any
RB1,CCNE1,any
RB1,TP53,any
>RB1,7.960816745324245
CCNE1,RB1,any
RB1,SMARCA2,any
RB1,TP53,any
>JUN,7.154735591177326
