Gene	TP53	MYC	RB1	CCNE1	MCL1	BRCA1	AKT1	CTNNB1	TERT	BCL2L1	TRIM28	APC	MAX	MTOR	VAV2	MACF1	PTEN	NF1	GRB2	IGF1R	CBX8	E2F5	NOTCH1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0
GeneName	TP53	MYC	RB1	CCNE1	MCL1	BRCA1	AKT1	CTNNB1	TERT	BCL2L1	TRIM28	APC	MAX	MTOR	VAV2	MACF1	PTEN	NF1	GRB2	IGF1R	CBX8	E2F5	NOTCH1
TCGA-24-1616-01	1																						
TCGA-29-2432-01	1																						
TCGA-13-1481-01	1																						
TCGA-04-1369-01	1																						
TCGA-13-0912-01	1																						
TCGA-24-1471-01	1																						
TCGA-61-2088-01	1																						
TCGA-25-1325-01	1																						
TCGA-24-1555-01	1																						
TCGA-36-1580-01	1																						
TCGA-25-2042-01	1																						
TCGA-04-1347-01	1																						
TCGA-24-0970-01	1																						
TCGA-61-2009-01	1																						
TCGA-25-1324-01	1																						
TCGA-13-0765-01	1																						
TCGA-29-1707-01	1																						
TCGA-25-2400-01	1																						
TCGA-61-2101-01	1																						
TCGA-61-2612-01	1																						
TCGA-04-1343-01	1																						
TCGA-04-1364-01	1																						
TCGA-13-0762-01	1																						
TCGA-25-1326-01	1																						
TCGA-25-1633-01	1																						
TCGA-13-0885-01	1																						
TCGA-24-2290-01	1																						
TCGA-13-1407-01	1																						
TCGA-13-1504-01	1																						
TCGA-31-1950-01	1																						
TCGA-59-2350-01	1																						
TCGA-23-1107-01	1																						
TCGA-29-1778-01	1																						
TCGA-61-2002-01	1																						
TCGA-42-2591-01	1																						
TCGA-59-2355-01	1																						
TCGA-10-0935-01	1																						
TCGA-04-1530-01	1																						
TCGA-24-2260-01	1																						
TCGA-24-1850-01	1																						
TCGA-36-1577-01	1																						
TCGA-09-2045-01	1																						
TCGA-04-1655-01	1																						
TCGA-36-2552-01	1																						
TCGA-09-1661-01	1																						
TCGA-61-1998-01	1																						
TCGA-09-0364-01	1																						
TCGA-10-0928-01	1																						
TCGA-04-1349-01	1																						
TCGA-25-1317-01	1																						
TCGA-10-0926-01	1																						
TCGA-13-0899-01	1																						
TCGA-25-1319-01	1																						
TCGA-29-1783-01	1																						
TCGA-25-1627-01	1			
