SKP2,TP53,any
TP53,BID,any
BID,FADD,any
>BID,6.339399089753414
BID,FADD,any
BID,TP53,any
BID,REL,any
>DKK1,6.009995264617605
DKK1,TP53,any
TP53,SKP2,any
SKP2,FOXM1,any
>DKK1,5.328389905311843
TP53,DKK1,any
RB1,SKP2,any
UFD1L,TP53,any
TP53,RB1,any
>DKK1,5.276955170416703
PTEN,TP53,any
ANG,PTEN,any
TP53,DKK1,any
>DKK1,5.544515895363022
TP53,DKK1,any
SKP2,TP53,any
SKP2,RB1,any
SKP2,FOXM1,any
>DKK1,6.024511210518757
DKK1,TP53,any
TP53,SKP2,any
TP53,EGFR,any
>HGF,5.796062650874311
CRKL,MAP4K1,any
HGF,TP53,any
CRKL,HGF,any
>HGF,5.891128263691278
TP53,SKP2,any
HGF,TP53,any
SKP2,RB1,any
>HGF,5.913364200124756
TP53,SKP2,any
HGF,TP53,any
CRKL,HGF,any
>HGF,5.691570051773171
MDM2,TP53,any
TP53,SKP2,any
TP53,HGF,any
>HGF,6.10485246820494
TP53,SKP2,any
HGF,TP53,any
TP53,EGFR,any
>ZNF274,5.541444456571549
TP53,ZNF274,any
BID,FADD,any
BID,TP53,any
>ZNF274,5.386083061748674
TP53,SKP2,any
TP53,ZNF274,any
BID,TP53,any
>ZNF274,5.759995264617605
TP53,SKP2,any
ZNF274,TP53,any
SKP2,FOXM1,any
>ZNF274,5.631530625270301
APH1A,ZNF274,any
TP53,SKP2,any
ZNF274,TP53,any
>ZNF274,5.56083719633428
SKP2,TP53,any
TP53,ZNF274,any
SKP2,RB1,any
>SIGLEC5,5.217640220919528
SIGLEC5,TRIP13,any
TRIP13,PLK3,any
TP53,RB1,any
PLK3,TP53,any
>SIGLEC5,5.2573331588774845
TRIP13,MAD2L1BP,any
MAD2L1BP,TP53,any
SIGLEC5,TRIP13,any
>SIGLEC5,5.2821710484798485
SIGLEC5,TRIP13,any
TRIP13,PLK3,any
TRIP13,COMT,any
PLK3,TP53,any
>SIGLEC5,5.6108865494707585
SIGLEC5,TRIP13,any
TRIP13,PLK3,any
PLK3,TP53,any
>SIGLEC5,5.420675391660497
SIGLEC5,TRIP13,any
TRIP13,PLK3,any
PLK3,CCNE1,any
PLK3,TP53,any
>TNS1,4.892258684879631
WNK1,TNS1,any
TNRC6A,WNK1,any
TNRC6A,TRIP13,any
>TNS1,4.421980323055568
WNK1,TNS1,any
TNRC6A,WNK1,any
WNK1,FLNC,any
TNRC6A,TRIP13,any
>TNS1,4.374958635990523
SLC9A1,WNK1,any
WNK1,TNS1,any
SLC9A1,EGFR,any
>TNS1,4.780359300196293
TNS1,WNK1,any
CLTC,FADD,any
WNK1,CLTC,any
>TNS1,4.445737317669559
WNK1,TNS1,any
LCP2,MAP4K1,any
WNK1,LCP2,any
>SMYD2,6.026436567442351
TP53,SKP2,any
TP53,EGFR,any
SMYD2,TP53,any
>SMYD2,5.793314716897669
BID,FADD,any
BID,TP53,any
TP53,SMYD2,any
>SMYD2,5.799473486984698
TP53,SKP2,any
TP53,S100A8,any
SMYD2,TP53,any
>SMYD2,5.816621509816909
RB1,SKP2,any
SMYD2,TP53,any
TP53,RB1,any
>SMYD2,6.011887250600928
TP53,SKP2,any
SKP2,FOXM1,any
SMYD2,TP53,any
>PELI1,5.362255494695418
TRIP13,PLK3,any
PELI1,TRIP13,any
PLK3,TP53,any
>PELI1,4.9648516857569245
PLK3,TRIP13,any
TRIP13,PELI1,any
TRIP13,SELENBP1,any
PLK3,TP53,any
>PELI1,5.008702104102144
TRIP13,UBE2I,any
UBE2I,TP53,any
PELI1,TRIP13,any
>PELI1,5.221828708886876
TRIP13,PLK3,any
PLK3,CCNE1,any
PELI1,TRIP13,any
