>RAC1,5.396516635930335
MYC,TP53,any
RAC1,MYC,any
RAC1,CTNNB1,any
>CRKL,5.371551122433574
CRKL,PIK3CA,any
ERBB3,CRKL,any
ERBB3,PIK3R1,any
>CRKL,5.496340847878071
CRKL,PIK3R1,any
CRKL,PIK3CA,any
LAMA5,CRKL,any
>CRKL,5.317437230536105
PIK3R1,CRKL,any
ERBB2,MYC,any
ERBB2,PIK3R1,any
>CRKL,5.6650849246790695
CRKL,PIK3R1,any
CRKL,PIK3CA,any
PIK3CA,BCL2L1,any
>CRKL,5.497563373872163
CRKL,PIK3CA,any
ERBB2,CRKL,any
ERBB2,PIK3R1,any
>STAT3,5.64421698461204
MYC,TP53,any
STAT3,PIK3CA,any
STAT3,MYC,any
>STAT3,5.746735495483111
MYC,CTNNB1,any
STAT3,PIK3CA,any
STAT3,MYC,any
>STAT3,6.302020867259793
STAT3,PIK3R1,any
STAT3,PIK3CA,any
STAT3,MYC,any
>STAT3,5.759584881346143
ERBB2,PIK3R1,any
STAT3,PIK3CA,any
STAT3,ERBB2,any
>STAT3,5.91711724367503
PIK3CA,BCL2L1,any
STAT3,PIK3CA,any
PIK3CA,PIK3R1,any
>GSN,5.660887796271114
PIK3CA,BCL2L1,any
GSN,PIK3R1,any
GSN,PIK3CA,any
>GSN,5.399998402388916
SNX8,PIK3R1,any
PIK3R1,GSN,any
PIK3R1,PIK3CA,any
>GSN,5.629802362973464
GSN,PIK3R1,any
GSN,PIK3CA,any
PIK3R1,ERBB3,any
>GSN,5.755896718779628
GSN,PIK3CA,any
PIK3R1,ERBB2,any
PIK3CA,PIK3R1,any
>GSN,5.392114257157862
PIK3CA,PTEN,any
PIK3CA,BCL2L1,any
PIK3CA,GSN,any
>IL12RB1,5.359606671224272
IL12RB1,GADD45G,any
IL12RB1,PIK3R1,any
IL12RB1,PIK3CA,any
>IL12RB1,5.91711724367503
PIK3R1,BCL2L1,any
IL12RB1,PIK3R1,any
IL12RB1,PIK3CA,any
>IL12RB1,5.358344856769725
IL12RB1,PIK3R1,any
IL12RB1,PIK3CA,any
PIK3R1,ERBB3,any
>IL12RB1,5.3939350075668795
PIK3R1,SNX8,any
IL12RB1,PIK3R1,any
IL12RB1,PIK3CA,any
>IL12RB1,5.749649316447151
IL12RB1,PIK3R1,any
IL12RB1,PIK3CA,any
PIK3R1,ERBB2,any
>UFD1L,5.410740063595451
UFD1L,PIK3CA,any
PIK3CA,PTEN,any
PIK3CA,BCL2L1,any
>UFD1L,5.473028859962248
UFD1L,PIK3CA,any
UFD1L,TP53,any
PIK3CA,PIK3R1,any
>UFD1L,5.888359189251416
TP53,PTEN,any
TP53,TNFRSF10B,any
UFD1L,TP53,any
>UFD1L,5.7461493608599135
TP53,BCL2L1,any
TP53,PTEN,any
UFD1L,TP53,any
