ASNA1,GET4,any
CDKN1A,DNMT3A,any
GET4,CDKN1A,any
HILPDA,ASNA1,any
>GABARAPL2,1.5164243197685507
GABARAPL2,TNIP1,any
MAGEB18,TP53,any
TNIP1,MAGEB18,any
>GABARAPL2,1.4125703849682212
TNIP1,GABARAPL2,any
LRSAM1,UBE2H,any
GABARAPL2,LRSAM1,any
>GABARAPL2,2.0765594846045516
DNMT3A,CDKN1A,any
RPS2,GABARAPL2,any
CDKN1A,RPS2,any
>GABARAPL2,1.5601414484324356
TK1,TP53,any
RPS2,GABARAPL2,any
TK1,RPS2,any
WDR60,TK1,any
>GABARAPL2,2.047446451191365
CALCOCO2,GABARAPL2,any
TCL1A,CALCOCO2,any
GABARAPL2,TNIP1,any
TCL1A,DNMT3A,any
>GADD45G,1.5590169943749475
BCL2L1,TP53,any
PDIA4,GADD45G,any
PDIA4,BCL2L1,any
>GADD45G,1.5936237570137333
BCL2L1,TP53,any
PDIA4,GADD45G,any
PDIA4,BCL2L1,any
GADD45G,EZH2,any
>GADD45G,1.519314671870148
PDIA4,GADD45G,any
GADD45G,PHAX,any
GADD45G,EZH2,any
>GADD45G,1.675352617738402
EEF1A1,NRAS,any
EEF1A1,GADD45G,any
KRAS,EEF1A1,any
>GADD45G,1.5615773105863908
NRAS,EEF1A1,any
GADD45G,PDIA4,any
NRAS,PLCE1,any
EEF1A1,GADD45G,any
>TERF2IP,1.699136477453714
HNRNPK,U2AF1,any
U2AF1,AP2B1,any
AP2B1,TERF2IP,any
>TERF2IP,2.0765594846045516
MYC,DNMT3A,any
MYC,NBN,any
NBN,TERF2IP,any
>TERF2IP,2.047446451191365
MAX,NBN,any
NBN,TERF2IP,any
DNMT3A,MAX,any
TERF2IP,RAD50,any
>TERF2IP,1.6980376109789195
AP2B1,AFF4,any
AP2B1,U2AF1,any
TERF2IP,AP2B1,any
>TERF2IP,1.8240608139352568
ZHX1,TP53,any
IDH1,ZHX1,any
TERF1,TERF2IP,any
ZHX1,TERF1,any
>HNRNPK,1.8784962112572896
U2AF1,HNRNPK,any
U2AF1,CLK2,any
HNRNPK,MATR3,any
>HNRNPK,1.9275616033276428
AP2B1,AFF4,any
U2AF1,HNRNPK,any
U2AF1,AP2B1,any
>HNRNPK,1.9125703849682212
UBE2I,TP53,any
SETBP1,UBE2I,any
UBE2I,HNRNPK,any
>HNRNPK,1.9477459432841495
UBE2I,TP53,any
HNRNPK,U2AF1,any
HNRNPK,UBE2I,any
HNRNPK,MATR3,any
>HNRNPK,1.8798474422178022
RAD21,DISC1,any
HNRNPK,U2AF1,any
DISC1,MATR3,any
MATR3,HNRNPK,any
>WT1,2.076413174949463
NPM2,NPM3,any
NPM3,WT1,any
NPM1,NPM2,any
>WT1,1.9084514196704798
EGFR,PTPN11,any
WT1,TERT,any
TERT,EGFR,any
>WT1,2.100276388035915
EGFR,TP53,any
WT1,TERT,any
TERT,EGFR,any
>WT1,2.003586452113885
MYC,DNMT3A,any
TERT,MYC,any
WT1,TERT,any
WT1,TAOK1,any
>WT1,1.9523273737623672
SPATA24,KRT40,any
KRT40,CHCHD3,any
KRT40,WT1,any
>PIK3CA,1.9962737017322614
CEBPA,AR,any
AR,PIK3CA,any
MAX,DNMT3A,any
CEBPA,MAX,any
>PIK3CA,2.119462397434997
CDKN1A,DNMT3A,any
TP53,CDKN1A,any
EPHA2,TP53,any
EPHA2,PIK3CA,any
>PIK3CA,1.9936701912564052
DNAJB6,PIK3CA,any
PIK3CA,PTPN11,any
PTPN11,KIT,any
>PIK3CA,1.842984160907055
DNAJB6,PIK3CA,any
PIK3CA,DDX5,any
PIK3CA,PTPN11,any
DDX5,TP53,any
>PIK3CA,1.8777788654797434
DNAJB6,PIK3CA,any
PIK3CA,PTPN11,any
PIK3CA,PELP1,any
PTPN11,KIT,any
>CEP76,1.5434087511644763
MTUS2,DOCK2,any
ZMAT2,MTUS2,any
ZMAT2,CEP76,any
>CEP76,1.5878043748447501
CEP76,PIN1,any
PIN1,TP53,any
PIN1,MTUS2,any
>CEP76,1.4772987359578167
CCNK,CEP76,any
PPP1CA,TP53,any
TP53,CCNK,any
NOM1,PPP1CA,any
>CEP76,1.4408373525136913
GOLGA2,ZMAT2,any
ZMAT2,CEP76,any
ZMAT2,FXR2,any
UBE3C,GOLGA2,any
>CEP76,1.6228680624634217
ZMAT2,MTUS2,any
CEP76,ZMAT2,any
ZMAT2,FXR2,any
>CHD4,1.5944842203856455
RBBP4,CHD4,any
GATA2,HDAC3,any
HDAC3,RBBP4,any
>CHD4,1.7711309200802088
CHD4,RBBP4,any
RBBP4,HDAC1,any
MAX,DNMT3A,any
RBBP4,MAX,any
>CHD4,1.6240608139352566
ZHX1,CHD3,any
ZHX1,TP53,any
IDH1,ZHX1,any
CHD3,CHD4,any
>CHD4,1.6084946000525449
RBBP4,CHD4,any
MAX,RBBP4,any
CEBPA,MAX,any
>CHD4,1.9730060940112777
ZBTB17,HDAC1,any
DNMT3A,ZBTB17,any
HDAC1,CHD4,any
>CREB3,1.5590169943749475
BCL2L1,TP53,any
PDIA4,BCL2L1,any
BCL2L1,CREB3,any
>CREB3,1.6123724356957945
TAP1,TP53,any
RHEB,CREB3,any
CREB3,TAP1,any
>CREB3,1.5601414484324356
TAP1,TP53,any
CYB5B,CREB3,any
CREB3,RHEB,any
CREB3,TAP1,any
>CREB3,1.6612475876836412
SFXN3,MYC,any
MYC,DNMT3A,any
CYB5B,CREB3,any
CREB3,SFXN3,any
>CREB3,1.6485281374238567
IDH1,ZHX1,any
ZHX1,SLC38A1,any
SLC38A1,TP53,any
SLC38A1,CREB3,any
