SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
124	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
125	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
126	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
127	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
128	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
129	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
130	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
131	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
132	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
133	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
134	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
135	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
136	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
137	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
138	6	8	46	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2
139	6	8	46	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2
140	6	8	46	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2
141	6	8	46	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2
142	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
143	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
144	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
145	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
146	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
147	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
148	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
149	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
150	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
151	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
152	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
153	6	9	43	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,CDK2,PLEKHF2,SDCBP2
