SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
77	28	13	69	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
78	28	13	69	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
79	29	13	69	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,ESR1,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
80	30	13	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,ESR1,GRB2,GATA3,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
81	31	13	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,AGAP2,RHOA,MAP3K1,IGF1R,ESR1,GRB2,GATA3,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
82	32	13	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,AGAP2,RHOA,MAP3K1,IGF1R,ESR1,GRB2,GATA3,MACF1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
83	32	13	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,AGAP2,RHOA,MAP3K1,IGF1R,ESR1,GRB2,GATA3,MACF1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
84	32	13	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,AGAP2,RHOA,MAP3K1,IGF1R,ESR1,GRB2,GATA3,MACF1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
85	32	13	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,AGAP2,RHOA,MAP3K1,IGF1R,ESR1,GRB2,GATA3,MACF1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
86	32	13	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,AGAP2,RHOA,MAP3K1,IGF1R,ESR1,GRB2,GATA3,MACF1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
87	33	13	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,AGAP2,RHOA,MAP3K1,IGF1R,ESR1,GRB2,GATA3,FYN,MACF1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
88	33	14	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,AGAP2,RHOA,MAP3K1,IGF1R,ESR1,GRB2,GATA3,FYN,MACF1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,IREB2,MAPK14,TTN
