Gene	APC	TP53	CTNNB1	NAV3	SMAD4	KRT23	PIK3CA	ANKRD17	NEB	NUPL2	GIGYF2	GRB2	EGFR	KRT14	MYC	VCAN	NCKAP5L	NUP98	RAC1	ERBB2
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0
GeneName	APC	TP53	CTNNB1	NAV3	SMAD4	KRT23	PIK3CA	ANKRD17	NEB	NUPL2	GIGYF2	GRB2	EGFR	KRT14	MYC	VCAN	NCKAP5L	NUP98	RAC1	ERBB2
TCGA-AA-A01T-01	1	1																		
TCGA-CI-6621-01	1	1																		
TCGA-AF-4110-01	1	1																		
TCGA-AA-3681-01	1	1																		
TCGA-AA-3552-01	1	1																		
TCGA-AH-6549-01	1	1																		
TCGA-AA-3976-01	1	1																		
TCGA-CM-6679-01	1	1																		
TCGA-AA-A00W-01	1	1																		
TCGA-AG-3611-01	1	1																		
TCGA-AA-3679-01	1	1																		
TCGA-AA-3693-01	1	1																		
TCGA-AA-3980-01	1	1																		
TCGA-F4-6855-01	1		1	1	1		1													1
TCGA-CK-5915-01	1		1		1	1							1							
TCGA-D5-6536-01	1		1		1		1				1		1							
TCGA-CM-5344-01	1		1		1		1						1							
TCGA-F4-6569-01	1		1		1		1													
TCGA-F5-6465-01	1		1		1								1							
TCGA-AH-6547-01	1		1		1															
TCGA-D5-6537-01	1		1				1		1				1							1
TCGA-AG-3881-01	1		1																	
TCGA-AA-A00U-01	1		1																	
TCGA-D5-5539-01	1				1		1	1					1		1					
TCGA-CM-6680-01	1				1		1						1							
TCGA-AA-A02O-01	1				1		1													1
TCGA-AG-3887-01	1				1		1													
TCGA-D5-7000-01	1				1		1													
TCGA-AY-6386-01	1				1		1													
TCGA-AA-A00K-01	1				1					1										
TCGA-CM-6170-01	1				1								1							
TCGA-AA-3692-01	1				1										1					
TCGA-AG-3586-01	1				1															
TCGA-DC-6681-01	1				1															
TCGA-AA-3973-01	1				1															
TCGA-AG-A008-01	1				1															
TCGA-AH-6903-01	1				1															
TCGA-AA-3870-01	1				1															
TCGA-AA-3530-01	1				1															
TCGA-A6-5664-01	1				1															
TCGA-AA-3522-01	1				1															
TCGA-A6-5666-01	1						1	1												
TCGA-CK-5912-01	1						1		1											
TCGA-D5-6529-01	1						1		1											
