SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
66	18	24	44	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,ABL1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,PAK1,FYN,ZFYVE9
67	18	24	44	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,ABL1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,PAK1,FYN,ZFYVE9
68	18	25	43	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,ABL1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,ERBB4,PAK1,FYN,ZFYVE9
69	19	25	44	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,KRAS,ABL1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,ERBB4,PAK1,FYN,ZFYVE9
70	19	25	44	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,KRAS,ABL1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,ERBB4,PAK1,FYN,ZFYVE9
71	19	25	44	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,KRAS,ABL1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,ERBB4,PAK1,FYN,ZFYVE9
72	20	25	45	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,KRAS,ABL1,MET,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,ERBB4,PAK1,FYN,ZFYVE9
73	20	25	45	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,KRAS,ABL1,MET,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,ERBB4,PAK1,FYN,ZFYVE9
74	20	25	45	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,KRAS,ABL1,MET,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,ERBB4,PAK1,FYN,ZFYVE9
75	21	25	46	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,KRAS,ABL1,MET,KIT,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,ERBB4,PAK1,FYN,ZFYVE9
76	21	26	45	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,KRAS,ABL1,MET,KIT,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,ERBB4,PAK1,FYN,ZFYVE9,ATXN1
77	21	27	44	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,TPR,ATM,KRAS,ABL1,MET,KIT,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2,SYNE1,ERBB4,AXIN2,PAK1,FYN,ZFYVE9,ATXN1
